benchmark_case_id,benchmark_name,benchmark_version,benchmark_revision,source_file,label_source,vulnerability_label,expected_result,cwe,ground_truth_granularity,endpoint,crawler_url,request_shape,source_request_method,input_carrier_shape,primary_input_carrier,controllable_input_count,controllable_input_names,content_type,sql_operation_category,sql_operation_markers,read_write_category,execution_api,response_observability,boolean_verifier_applicability,transport_compatibility,sql_verifier_compatibility,compatibility_class,eligible_original_external_evaluation,eligible_candidate_ranking,required_adapter,adapter_requirements,incompatibility_reason,classification_reason,candidate_representation_support,candidate_representation_gap,sanitization_required,sanitized_candidate_id,sanitized_action_path,retained_model_facing_fields,excluded_from_model_input_fields,model_facing_preview,audit_status,auditor_notes
BenchmarkTest00038,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00038.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00038,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00038,POST_form,GET_delegates_to_POST,formparam+formparam,formparam,2,answer;bar,text/html;charset=UTF-8,select_like,select,read_like,unknown,writer_output_detected,manual_review_required,adapter_feasible,manual_review_required,MANUAL_REVIEW,false,false,form_parameter_adapter;multi_form_parameter_adapter,submit original form parameters with deterministic values;preserve companion form parameters,read-like SQL detected but static response oracle is insufficient,read-like SQL detected but static response oracle is insufficient,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,static source inspection completed
BenchmarkTest00039,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00039.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00039,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00039,POST_form,GET_delegates_to_POST,formparam+formparam,formparam,2,answer;bar,text/html;charset=UTF-8,select_like,select,read_like,unknown,writer_output_detected,manual_review_required,adapter_feasible,manual_review_required,MANUAL_REVIEW,false,false,form_parameter_adapter;multi_form_parameter_adapter,submit original form parameters with deterministic values;preserve companion form parameters,read-like SQL detected but static response oracle is insufficient,read-like SQL detected but static response oracle is insufficient,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,static source inspection completed
BenchmarkTest00043,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00043.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00043,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00043,POST_form,GET_delegates_to_POST,formparam+formparam+formparam+formparam,formparam,4,productID;secure;foo;BenchmarkTest00043,text/html;charset=UTF-8,insert,insert;execute_update,write_or_state_changing,executeUpdate,writer_output_detected,not_applicable_non_destructive_conflict,adapter_feasible,not_applicable_non_destructive_conflict,EXCLUDED,false,false,form_parameter_adapter;multi_form_parameter_adapter,submit original form parameters with deterministic values;preserve companion form parameters,write/state-changing SQL conflicts with non-destructive verifier philosophy,write/state-changing SQL conflicts with non-destructive verifier philosophy,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,executeUpdate call statically detected
BenchmarkTest00052,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00052.java,expectedresults-1.2.csv,sqli,non_vulnerable,89,case_level,/sqli-00/BenchmarkTest00052,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00052,POST_form,GET_delegates_to_POST,formparam,formparam,1,BenchmarkTest00052,text/html;charset=UTF-8,stored_procedure,stored_procedure;execute_query,stored_procedure_ambiguous,executeQuery;prepareCall,result_rows_written,not_applicable_stored_procedure_ambiguous,adapter_feasible,not_applicable_stored_procedure_ambiguous,EXCLUDED,false,false,form_parameter_adapter,submit original form parameters with deterministic values,stored procedure behavior cannot be assumed read-only by static audit,stored procedure behavior cannot be assumed read-only by static audit,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,stored procedure call statically detected
BenchmarkTest00100,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00100.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00100,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00100,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00100,text/html;charset=UTF-8,select_like,select;prepared_statement,read_like,execute;prepareStatement,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000015,/external-v15/case-000015,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000015"", ""editable_input_count"": 1, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""cookie"", ""input_count_category"": ""single"", ""multiple_parameters"": false, ""request_shape"": ""cookie"", ""sanitized_action_path"": ""/external-v15/case-000015"", ""transport_adapter_category"": ""cookie""}",audited,doGet dispatches to a form/template before doPost
BenchmarkTest00101,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00101.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00101,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00101,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00101,text/html;charset=UTF-8,select_like,select;prepared_statement,read_like,execute;prepareStatement,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000016,/external-v15/case-000016,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000016"", ""editable_input_count"": 1, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""cookie"", ""input_count_category"": ""single"", ""multiple_parameters"": false, ""request_shape"": ""cookie"", ""sanitized_action_path"": ""/external-v15/case-000016"", ""transport_adapter_category"": ""cookie""}",audited,doGet dispatches to a form/template before doPost
BenchmarkTest00102,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00102.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00102,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00102,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00102,text/html;charset=UTF-8,select_like,select,read_like,unknown,writer_output_detected,manual_review_required,adapter_feasible,manual_review_required,MANUAL_REVIEW,false,false,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,read-like SQL detected but static response oracle is insufficient,read-like SQL detected but static response oracle is insufficient,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,doGet dispatches to a form/template before doPost
BenchmarkTest00103,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00103.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00103,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00103,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00103,text/html;charset=UTF-8,select_like,select,read_like,unknown,writer_output_detected,manual_review_required,adapter_feasible,manual_review_required,MANUAL_REVIEW,false,false,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,read-like SQL detected but static response oracle is insufficient,read-like SQL detected but static response oracle is insufficient,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,doGet dispatches to a form/template before doPost
BenchmarkTest00104,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00104.java,expectedresults-1.2.csv,sqli,non_vulnerable,89,case_level,/sqli-00/BenchmarkTest00104,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00104,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00104,text/html;charset=UTF-8,select_like,select,read_like,unknown,writer_output_detected,manual_review_required,adapter_feasible,manual_review_required,MANUAL_REVIEW,false,false,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,read-like SQL detected but static response oracle is insufficient,read-like SQL detected but static response oracle is insufficient,not_applicable,no_ranker_candidate_for_incompatible_case,not_applicable,,,,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,,audited,doGet dispatches to a form/template before doPost
BenchmarkTest00105,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00105.java,expectedresults-1.2.csv,sqli,non_vulnerable,89,case_level,/sqli-00/BenchmarkTest00105,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00105,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00105,text/html;charset=UTF-8,select_like,select,read_like,unknown,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000020,/external-v15/case-000020,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000020"", ""editable_input_count"": 1, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""cookie"", ""input_count_category"": ""single"", ""multiple_parameters"": false, ""request_shape"": ""cookie"", ""sanitized_action_path"": ""/external-v15/case-000020"", ""transport_adapter_category"": ""cookie""}",audited,doGet dispatches to a form/template before doPost
BenchmarkTest00106,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00106.java,expectedresults-1.2.csv,sqli,vulnerable,89,case_level,/sqli-00/BenchmarkTest00106,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00106,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00106,text/html;charset=UTF-8,select_like,select,read_like,execute,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000021,/external-v15/case-000021,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000021"", ""editable_input_count"": 1, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""cookie"", ""input_count_category"": ""single"", ""multiple_parameters"": false, ""request_shape"": ""cookie"", ""sanitized_action_path"": ""/external-v15/case-000021"", ""transport_adapter_category"": ""cookie""}",audited,doGet dispatches to a form/template before doPost
BenchmarkTest00107,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00107.java,expectedresults-1.2.csv,sqli,non_vulnerable,89,case_level,/sqli-00/BenchmarkTest00107,https://localhost:8443/benchmark/sqli-00/BenchmarkTest00107,cookie,POST_with_GET_form_setup,cookie,cookie,1,BenchmarkTest00107,text/html;charset=UTF-8,select_like,select,read_like,execute,result_rows_written,plausible_runtime_validation_required,adapter_feasible,plausible_runtime_validation_required,ADAPTER_SUPPORTED,true,true,cookie_adapter,set deterministic cookies without exposing original BenchmarkTest names to the ranker;preserve original POST flow after deterministic setup,,original case may be preserved with deterministic transport adapter; runtime boolean validation still required,proposed_schema,,true,os15-c000022,/external-v15/case-000022,candidate_id;sanitized_action_path;http_method;input_carrier;input_count_category;editable_input_count;multiple_parameters;transport_adapter_category;request_shape,benchmark_case_id;expected_result;ground_truth;label;query_text;source_file;sql_operation_category;sql_statement;vulnerability_label,"{""candidate_id"": ""os15-c000022"", ""editable_input_count"": 1, ""http_method"": ""POST_or_request_metadata"", ""input_carrier"": ""cookie"", ""input_count_category"": ""single"", ""multiple_parameters"": false, ""request_shape"": ""cookie"", ""sanitized_action_path"": ""/external-v15/case-000022"", ""transport_adapter_category"": ""cookie""}",audited,doGet dispatches to a form/template before doPost
