benchmark_case_id,benchmark_name,benchmark_version,benchmark_revision,source_file,label_source,vulnerability_label,expected_result,ground_truth_granularity,request_method,input_source,endpoint,parameter,content_type,encoding_or_transform,context_or_category,authentication_required,stateful_prerequisite,current_framework_compatible,compatibility_class,evaluation_role,incompatibility_reason,required_adapter,adapter_changes_vulnerability_semantics,verifier_compatible,payload_support,candidate_representation_support,candidate_representation_gap,eligible_for_direct_external_execution,eligible_for_external_ranking,ranking_candidate_source,benchmark_identity_leakage_fields,sanitization_required,sanitized_candidate_id,sanitized_action_path,sanitized_parameter_name,retained_model_facing_fields,excluded_from_model_input_fields,exclusion_reason,audit_status,auditor_notes
BenchmarkTest00153,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00153.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00153,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000018,/external-v14/case-000018,header_000018,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00154,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00154.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00154,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000019,/external-v14/case-000019,header_000019,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00155,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00155.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00155,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000020,/external-v14/case-000020,header_000020,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00156,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00156.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00156,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000021,/external-v14/case-000021,header_000021,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00157,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00157.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00157,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000022,/external-v14/case-000022,header_000022,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00275,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00275.java,expectedresults-1.2.csv,xss,non_vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00275,Referer,text/html;charset=UTF-8,url_decode;base64_transform,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000023,/external-v14/case-000023,header_000023,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00276,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00276.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00276,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000024,/external-v14/case-000024,header_000024,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00277,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00277.java,expectedresults-1.2.csv,xss,non_vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00277,Referer,text/html;charset=UTF-8,url_decode;base64_transform,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000025,/external-v14/case-000025,header_000025,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00278,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00278.java,expectedresults-1.2.csv,xss,non_vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00278,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000026,/external-v14/case-000026,header_000026,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
BenchmarkTest00279,OWASP Benchmark Java,1.2,ba2e3f9a29fa3bde6a5c073d679393c9b94f025f,src\main\java\org\owasp\benchmark\testcode\BenchmarkTest00279.java,expectedresults-1.2.csv,xss,vulnerable,case_level,GET_delegates_to_POST,header,/xss-00/BenchmarkTest00279,Referer,text/html;charset=UTF-8,url_decode,cwe-79,not_identified,not_identified,false,ADAPTER_SUPPORTED,FINAL_CONFIRMATORY_ELIGIBLE,current_candidate_transport_does_not_support_header,header_input,false,current_marker_control_likely_sufficient,current_marker_control,required_extension,input_source_header;header_name_transport,true,true,metadata_constructed,benchmark_case_id;source_file;java_class_name;servlet_route;vulnerability_label;expected_result;parameter,true,ox14-c000027,/external-v14/case-000027,header_000027,opaque_candidate_id;sanitized_action_path;method;sanitized_parameter_name;input_source;input_type;editable_input_count;required_input_count;parameter_count,benchmark_case_id;source_file;java_class_name;servlet_name;vulnerability_label;expected_result;ground_truth,,audited,
