sequence,arm_id,scenario_id,trial_number,snapshot_path,candidate_test_budget,top_k,scored
28,deterministic_structural,ow14-s0028,1,model-facing/candidate-snapshots/ow14-s0028.json,4,4,true
29,deterministic_structural,ow14-s0029,1,model-facing/candidate-snapshots/ow14-s0029.json,4,4,true
30,deterministic_structural,ow14-s0030,1,model-facing/candidate-snapshots/ow14-s0030.json,4,4,true
31,deterministic_structural,ow14-s0031,1,model-facing/candidate-snapshots/ow14-s0031.json,4,4,true
32,deterministic_structural,ow14-s0032,1,model-facing/candidate-snapshots/ow14-s0032.json,4,4,true
33,deterministic_structural,ow14-s0033,1,model-facing/candidate-snapshots/ow14-s0033.json,4,4,true
34,deterministic_structural,ow14-s0034,1,model-facing/candidate-snapshots/ow14-s0034.json,4,4,true
35,deterministic_structural,ow14-s0035,1,model-facing/candidate-snapshots/ow14-s0035.json,4,4,true
36,deterministic_structural,ow14-s0036,1,model-facing/candidate-snapshots/ow14-s0036.json,4,4,true
37,deterministic_structural,ow14-s0037,1,model-facing/candidate-snapshots/ow14-s0037.json,4,4,true
38,deterministic_structural,ow14-s0038,1,model-facing/candidate-snapshots/ow14-s0038.json,4,4,true
39,deterministic_structural,ow14-s0039,1,model-facing/candidate-snapshots/ow14-s0039.json,4,4,true
40,deterministic_structural,ow14-s0040,1,model-facing/candidate-snapshots/ow14-s0040.json,4,4,true
41,deterministic_structural,ow14-s0041,1,model-facing/candidate-snapshots/ow14-s0041.json,4,4,true
42,deterministic_structural,ow14-s0042,1,model-facing/candidate-snapshots/ow14-s0042.json,4,4,true
43,deterministic_structural,ow14-s0043,1,model-facing/candidate-snapshots/ow14-s0043.json,4,4,true
44,deterministic_structural,ow14-s0044,1,model-facing/candidate-snapshots/ow14-s0044.json,4,4,true
45,deterministic_structural,ow14-s0045,1,model-facing/candidate-snapshots/ow14-s0045.json,4,4,true
46,deterministic_structural,ow14-s0046,1,model-facing/candidate-snapshots/ow14-s0046.json,4,4,true
47,deterministic_structural,ow14-s0047,1,model-facing/candidate-snapshots/ow14-s0047.json,4,4,true
48,deterministic_structural,ow14-s0048,1,model-facing/candidate-snapshots/ow14-s0048.json,4,4,true
49,deterministic_structural,ow14-s0049,1,model-facing/candidate-snapshots/ow14-s0049.json,4,4,true
50,deterministic_structural,ow14-s0050,1,model-facing/candidate-snapshots/ow14-s0050.json,4,4,true
51,deterministic_structural,ow14-s0051,1,model-facing/candidate-snapshots/ow14-s0051.json,4,4,true
52,deterministic_structural,ow14-s0052,1,model-facing/candidate-snapshots/ow14-s0052.json,4,4,true
53,deterministic_structural,ow14-s0053,1,model-facing/candidate-snapshots/ow14-s0053.json,4,4,true
54,deterministic_structural,ow14-s0054,1,model-facing/candidate-snapshots/ow14-s0054.json,4,4,true
55,deterministic_structural,ow14-s0055,1,model-facing/candidate-snapshots/ow14-s0055.json,4,4,true
56,deterministic_structural,ow14-s0056,1,model-facing/candidate-snapshots/ow14-s0056.json,4,4,true
57,deterministic_structural,ow14-s0057,1,model-facing/candidate-snapshots/ow14-s0057.json,4,4,true
58,deterministic_structural,ow14-s0058,1,model-facing/candidate-snapshots/ow14-s0058.json,4,4,true
59,deterministic_structural,ow14-s0059,1,model-facing/candidate-snapshots/ow14-s0059.json,4,4,true
60,deterministic_structural,ow14-s0060,1,model-facing/candidate-snapshots/ow14-s0060.json,4,4,true
61,deterministic_structural,ow14-s0061,1,model-facing/candidate-snapshots/ow14-s0061.json,4,4,true
62,deterministic_structural,ow14-s0062,1,model-facing/candidate-snapshots/ow14-s0062.json,4,4,true
63,deterministic_structural,ow14-s0063,1,model-facing/candidate-snapshots/ow14-s0063.json,4,4,true
64,deterministic_structural,ow14-s0064,1,model-facing/candidate-snapshots/ow14-s0064.json,4,4,true
65,deterministic_structural,ow14-s0065,1,model-facing/candidate-snapshots/ow14-s0065.json,4,4,true
66,deterministic_structural,ow14-s0066,1,model-facing/candidate-snapshots/ow14-s0066.json,4,4,true
67,deterministic_structural,ow14-s0067,1,model-facing/candidate-snapshots/ow14-s0067.json,4,4,true
68,deterministic_structural,ow14-s0068,1,model-facing/candidate-snapshots/ow14-s0068.json,4,4,true
69,deterministic_structural,ow14-s0069,1,model-facing/candidate-snapshots/ow14-s0069.json,4,4,true
70,deterministic_structural,ow14-s0070,1,model-facing/candidate-snapshots/ow14-s0070.json,4,4,true
71,deterministic_structural,ow14-s0071,1,model-facing/candidate-snapshots/ow14-s0071.json,4,4,true
72,deterministic_structural,ow14-s0072,1,model-facing/candidate-snapshots/ow14-s0072.json,4,4,true
73,deterministic_structural,ow14-s0073,1,model-facing/candidate-snapshots/ow14-s0073.json,4,4,true
74,deterministic_structural,ow14-s0074,1,model-facing/candidate-snapshots/ow14-s0074.json,4,4,true
75,deterministic_structural,ow14-s0075,1,model-facing/candidate-snapshots/ow14-s0075.json,4,4,true
76,deterministic_structural,ow14-s0076,1,model-facing/candidate-snapshots/ow14-s0076.json,4,4,true
77,deterministic_structural,ow14-s0077,1,model-facing/candidate-snapshots/ow14-s0077.json,4,4,true
78,deterministic_structural,ow14-s0078,1,model-facing/candidate-snapshots/ow14-s0078.json,4,4,true
79,deterministic_structural,ow14-s0079,1,model-facing/candidate-snapshots/ow14-s0079.json,4,4,true
80,deterministic_structural,ow14-s0080,1,model-facing/candidate-snapshots/ow14-s0080.json,4,4,true
81,deterministic_structural,ow14-s0081,1,model-facing/candidate-snapshots/ow14-s0081.json,4,4,true
82,deterministic_structural,ow14-s0082,1,model-facing/candidate-snapshots/ow14-s0082.json,4,4,true
83,deterministic_structural,ow14-s0083,1,model-facing/candidate-snapshots/ow14-s0083.json,4,4,true
84,deterministic_structural,ow14-s0084,1,model-facing/candidate-snapshots/ow14-s0084.json,4,4,true
85,deterministic_structural,ow14-s0085,1,model-facing/candidate-snapshots/ow14-s0085.json,4,4,true
86,deterministic_structural,ow14-s0086,1,model-facing/candidate-snapshots/ow14-s0086.json,4,4,true
87,deterministic_structural,ow14-s0087,1,model-facing/candidate-snapshots/ow14-s0087.json,4,4,true
88,deterministic_structural,ow14-s0088,1,model-facing/candidate-snapshots/ow14-s0088.json,4,4,true
89,deterministic_structural,ow14-s0089,1,model-facing/candidate-snapshots/ow14-s0089.json,4,4,true
90,deterministic_structural,ow14-s0090,1,model-facing/candidate-snapshots/ow14-s0090.json,4,4,true
91,deterministic_structural,ow14-s0091,1,model-facing/candidate-snapshots/ow14-s0091.json,4,4,true
92,deterministic_structural,ow14-s0092,1,model-facing/candidate-snapshots/ow14-s0092.json,4,4,true
93,deterministic_structural,ow14-s0093,1,model-facing/candidate-snapshots/ow14-s0093.json,4,4,true
94,deterministic_structural,ow14-s0094,1,model-facing/candidate-snapshots/ow14-s0094.json,4,4,true
95,deterministic_structural,ow14-s0095,1,model-facing/candidate-snapshots/ow14-s0095.json,4,4,true
96,deterministic_structural,ow14-s0096,1,model-facing/candidate-snapshots/ow14-s0096.json,4,4,true
97,deterministic_structural,ow14-s0097,1,model-facing/candidate-snapshots/ow14-s0097.json,4,4,true
98,deterministic_structural,ow14-s0098,1,model-facing/candidate-snapshots/ow14-s0098.json,4,4,true
99,deterministic_structural,ow14-s0099,1,model-facing/candidate-snapshots/ow14-s0099.json,4,4,true
100,deterministic_structural,ow14-s0100,1,model-facing/candidate-snapshots/ow14-s0100.json,4,4,true
101,deterministic_structural,ow14-s0101,1,model-facing/candidate-snapshots/ow14-s0101.json,4,4,true
102,deterministic_structural,ow14-s0102,1,model-facing/candidate-snapshots/ow14-s0102.json,4,4,true
103,deterministic_structural,ow14-s0103,1,model-facing/candidate-snapshots/ow14-s0103.json,4,4,true
104,deterministic_structural,ow14-s0104,1,model-facing/candidate-snapshots/ow14-s0104.json,4,4,true
105,deterministic_structural,ow14-s0105,1,model-facing/candidate-snapshots/ow14-s0105.json,4,4,true
106,deterministic_structural,ow14-s0106,1,model-facing/candidate-snapshots/ow14-s0106.json,4,4,true
107,deterministic_structural,ow14-s0107,1,model-facing/candidate-snapshots/ow14-s0107.json,4,4,true
108,deterministic_structural,ow14-s0108,1,model-facing/candidate-snapshots/ow14-s0108.json,4,4,true
109,deterministic_structural,ow14-s0109,1,model-facing/candidate-snapshots/ow14-s0109.json,4,4,true
110,deterministic_structural,ow14-s0110,1,model-facing/candidate-snapshots/ow14-s0110.json,4,4,true
111,deterministic_structural,ow14-s0111,1,model-facing/candidate-snapshots/ow14-s0111.json,4,4,true
112,deterministic_structural,ow14-s0112,1,model-facing/candidate-snapshots/ow14-s0112.json,4,4,true
113,deterministic_structural,ow14-s0113,1,model-facing/candidate-snapshots/ow14-s0113.json,4,4,true
114,deterministic_structural,ow14-s0114,1,model-facing/candidate-snapshots/ow14-s0114.json,4,4,true
115,deterministic_structural,ow14-s0115,1,model-facing/candidate-snapshots/ow14-s0115.json,4,4,true
116,deterministic_structural,ow14-s0116,1,model-facing/candidate-snapshots/ow14-s0116.json,4,4,true
117,deterministic_structural,ow14-s0117,1,model-facing/candidate-snapshots/ow14-s0117.json,4,4,true
118,deterministic_structural,ow14-s0118,1,model-facing/candidate-snapshots/ow14-s0118.json,4,4,true
119,deterministic_structural,ow14-s0119,1,model-facing/candidate-snapshots/ow14-s0119.json,4,4,true
120,deterministic_structural,ow14-s0120,1,model-facing/candidate-snapshots/ow14-s0120.json,4,4,true
121,deterministic_structural,ow14-s0121,1,model-facing/candidate-snapshots/ow14-s0121.json,4,4,true
122,deterministic_structural,ow14-s0122,1,model-facing/candidate-snapshots/ow14-s0122.json,4,4,true
123,deterministic_structural,ow14-s0123,1,model-facing/candidate-snapshots/ow14-s0123.json,4,4,true
124,deterministic_structural,ow14-s0124,1,model-facing/candidate-snapshots/ow14-s0124.json,4,4,true
125,deterministic_structural,ow14-s0125,1,model-facing/candidate-snapshots/ow14-s0125.json,4,4,true
126,deterministic_structural,ow14-s0126,1,model-facing/candidate-snapshots/ow14-s0126.json,4,4,true
127,deterministic_structural,ow14-s0127,1,model-facing/candidate-snapshots/ow14-s0127.json,4,4,true
128,deterministic_structural,ow14-s0128,1,model-facing/candidate-snapshots/ow14-s0128.json,4,4,true
129,deterministic_structural,ow14-s0129,1,model-facing/candidate-snapshots/ow14-s0129.json,4,4,true
130,deterministic_structural,ow14-s0130,1,model-facing/candidate-snapshots/ow14-s0130.json,4,4,true
131,deterministic_structural,ow14-s0131,1,model-facing/candidate-snapshots/ow14-s0131.json,4,4,true
132,deterministic_structural,ow14-s0132,1,model-facing/candidate-snapshots/ow14-s0132.json,4,4,true
133,deterministic_structural,ow14-s0133,1,model-facing/candidate-snapshots/ow14-s0133.json,4,4,true
134,deterministic_structural,ow14-s0134,1,model-facing/candidate-snapshots/ow14-s0134.json,4,4,true
135,deterministic_structural,ow14-s0135,1,model-facing/candidate-snapshots/ow14-s0135.json,4,4,true
136,deterministic_structural,ow14-s0136,1,model-facing/candidate-snapshots/ow14-s0136.json,4,4,true
137,deterministic_structural,ow14-s0137,1,model-facing/candidate-snapshots/ow14-s0137.json,4,4,true
138,deterministic_structural,ow14-s0138,1,model-facing/candidate-snapshots/ow14-s0138.json,4,4,true
139,deterministic_structural,ow14-s0139,1,model-facing/candidate-snapshots/ow14-s0139.json,4,4,true
140,deterministic_structural,ow14-s0140,1,model-facing/candidate-snapshots/ow14-s0140.json,4,4,true
141,deterministic_structural,ow14-s0141,1,model-facing/candidate-snapshots/ow14-s0141.json,4,4,true
142,deterministic_structural,ow14-s0142,1,model-facing/candidate-snapshots/ow14-s0142.json,4,4,true
143,deterministic_structural,ow14-s0143,1,model-facing/candidate-snapshots/ow14-s0143.json,4,4,true
144,deterministic_structural,ow14-s0144,1,model-facing/candidate-snapshots/ow14-s0144.json,4,4,true
145,deterministic_structural,ow14-s0145,1,model-facing/candidate-snapshots/ow14-s0145.json,4,4,true
146,deterministic_structural,ow14-s0146,1,model-facing/candidate-snapshots/ow14-s0146.json,4,4,true
147,deterministic_structural,ow14-s0147,1,model-facing/candidate-snapshots/ow14-s0147.json,4,4,true
148,deterministic_structural,ow14-s0148,1,model-facing/candidate-snapshots/ow14-s0148.json,4,4,true
149,deterministic_structural,ow14-s0149,1,model-facing/candidate-snapshots/ow14-s0149.json,4,4,true
150,deterministic_structural,ow14-s0150,1,model-facing/candidate-snapshots/ow14-s0150.json,4,4,true
151,deterministic_structural,ow14-s0151,1,model-facing/candidate-snapshots/ow14-s0151.json,4,4,true
152,deterministic_structural,ow14-s0152,1,model-facing/candidate-snapshots/ow14-s0152.json,4,4,true
153,deterministic_structural,ow14-s0153,1,model-facing/candidate-snapshots/ow14-s0153.json,4,4,true
154,deterministic_structural,ow14-s0154,1,model-facing/candidate-snapshots/ow14-s0154.json,4,4,true
155,deterministic_structural,ow14-s0155,1,model-facing/candidate-snapshots/ow14-s0155.json,4,4,true
156,deterministic_structural,ow14-s0156,1,model-facing/candidate-snapshots/ow14-s0156.json,4,4,true
157,deterministic_structural,ow14-s0157,1,model-facing/candidate-snapshots/ow14-s0157.json,4,4,true
158,deterministic_structural,ow14-s0158,1,model-facing/candidate-snapshots/ow14-s0158.json,4,4,true
159,deterministic_structural,ow14-s0159,1,model-facing/candidate-snapshots/ow14-s0159.json,4,4,true
160,deterministic_structural,ow14-s0160,1,model-facing/candidate-snapshots/ow14-s0160.json,4,4,true
161,deterministic_structural,ow14-s0161,1,model-facing/candidate-snapshots/ow14-s0161.json,4,4,true
162,deterministic_structural,ow14-s0162,1,model-facing/candidate-snapshots/ow14-s0162.json,4,4,true
163,deterministic_structural,ow14-s0163,1,model-facing/candidate-snapshots/ow14-s0163.json,4,4,true
164,deterministic_structural,ow14-s0164,1,model-facing/candidate-snapshots/ow14-s0164.json,4,4,true
165,deterministic_structural,ow14-s0165,1,model-facing/candidate-snapshots/ow14-s0165.json,4,4,true
166,deterministic_structural,ow14-s0166,1,model-facing/candidate-snapshots/ow14-s0166.json,4,4,true
167,deterministic_structural,ow14-s0167,1,model-facing/candidate-snapshots/ow14-s0167.json,4,4,true
168,deterministic_structural,ow14-s0168,1,model-facing/candidate-snapshots/ow14-s0168.json,4,4,true
169,deterministic_structural,ow14-s0169,1,model-facing/candidate-snapshots/ow14-s0169.json,4,4,true
170,deterministic_structural,ow14-s0170,1,model-facing/candidate-snapshots/ow14-s0170.json,4,4,true
171,deterministic_structural,ow14-s0171,1,model-facing/candidate-snapshots/ow14-s0171.json,4,4,true
172,deterministic_structural,ow14-s0172,1,model-facing/candidate-snapshots/ow14-s0172.json,4,4,true
173,deterministic_structural,ow14-s0173,1,model-facing/candidate-snapshots/ow14-s0173.json,4,4,true
174,deterministic_structural,ow14-s0174,1,model-facing/candidate-snapshots/ow14-s0174.json,4,4,true
175,deterministic_structural,ow14-s0175,1,model-facing/candidate-snapshots/ow14-s0175.json,4,4,true
176,deterministic_structural,ow14-s0176,1,model-facing/candidate-snapshots/ow14-s0176.json,4,4,true
177,deterministic_structural,ow14-s0177,1,model-facing/candidate-snapshots/ow14-s0177.json,4,4,true
178,deterministic_structural,ow14-s0178,1,model-facing/candidate-snapshots/ow14-s0178.json,4,4,true
179,deterministic_structural,ow14-s0179,1,model-facing/candidate-snapshots/ow14-s0179.json,4,4,true
180,deterministic_structural,ow14-s0180,1,model-facing/candidate-snapshots/ow14-s0180.json,4,4,true
181,deterministic_structural,ow14-s0181,1,model-facing/candidate-snapshots/ow14-s0181.json,4,4,true
182,deterministic_structural,ow14-s0182,1,model-facing/candidate-snapshots/ow14-s0182.json,4,4,true
183,deterministic_structural,ow14-s0183,1,model-facing/candidate-snapshots/ow14-s0183.json,4,4,true
184,deterministic_structural,ow14-s0184,1,model-facing/candidate-snapshots/ow14-s0184.json,4,4,true
185,deterministic_structural,ow14-s0185,1,model-facing/candidate-snapshots/ow14-s0185.json,4,4,true
186,deterministic_structural,ow14-s0186,1,model-facing/candidate-snapshots/ow14-s0186.json,4,4,true
187,deterministic_structural,ow14-s0187,1,model-facing/candidate-snapshots/ow14-s0187.json,4,4,true
188,deterministic_structural,ow14-s0188,1,model-facing/candidate-snapshots/ow14-s0188.json,4,4,true
189,deterministic_structural,ow14-s0189,1,model-facing/candidate-snapshots/ow14-s0189.json,4,4,true
190,deterministic_structural,ow14-s0190,1,model-facing/candidate-snapshots/ow14-s0190.json,4,4,true
191,deterministic_structural,ow14-s0191,1,model-facing/candidate-snapshots/ow14-s0191.json,4,4,true
192,deterministic_structural,ow14-s0192,1,model-facing/candidate-snapshots/ow14-s0192.json,4,4,true
193,deterministic_structural,ow14-s0193,1,model-facing/candidate-snapshots/ow14-s0193.json,4,4,true
194,deterministic_structural,ow14-s0194,1,model-facing/candidate-snapshots/ow14-s0194.json,4,4,true
195,deterministic_structural,ow14-s0195,1,model-facing/candidate-snapshots/ow14-s0195.json,4,4,true
196,deterministic_structural,ow14-s0196,1,model-facing/candidate-snapshots/ow14-s0196.json,4,4,true
197,deterministic_structural,ow14-s0197,1,model-facing/candidate-snapshots/ow14-s0197.json,4,4,true
198,deterministic_structural,ow14-s0198,1,model-facing/candidate-snapshots/ow14-s0198.json,4,4,true
199,deterministic_structural,ow14-s0199,1,model-facing/candidate-snapshots/ow14-s0199.json,4,4,true
200,deterministic_structural,ow14-s0200,1,model-facing/candidate-snapshots/ow14-s0200.json,4,4,true
201,deterministic_structural,ow14-s0201,1,model-facing/candidate-snapshots/ow14-s0201.json,4,4,true
202,deterministic_structural,ow14-s0202,1,model-facing/candidate-snapshots/ow14-s0202.json,4,4,true
203,deterministic_structural,ow14-s0203,1,model-facing/candidate-snapshots/ow14-s0203.json,4,4,true
204,deterministic_structural,ow14-s0204,1,model-facing/candidate-snapshots/ow14-s0204.json,4,4,true
205,deterministic_structural,ow14-s0205,1,model-facing/candidate-snapshots/ow14-s0205.json,4,4,true
206,deterministic_structural,ow14-s0206,1,model-facing/candidate-snapshots/ow14-s0206.json,4,4,true
207,deterministic_structural,ow14-s0207,1,model-facing/candidate-snapshots/ow14-s0207.json,4,4,true
208,deterministic_structural,ow14-s0208,1,model-facing/candidate-snapshots/ow14-s0208.json,4,4,true
209,deterministic_structural,ow14-s0209,1,model-facing/candidate-snapshots/ow14-s0209.json,4,4,true
210,deterministic_structural,ow14-s0210,1,model-facing/candidate-snapshots/ow14-s0210.json,4,4,true
211,deterministic_structural,ow14-s0211,1,model-facing/candidate-snapshots/ow14-s0211.json,4,4,true
212,deterministic_structural,ow14-s0212,1,model-facing/candidate-snapshots/ow14-s0212.json,4,4,true
213,deterministic_structural,ow14-s0213,1,model-facing/candidate-snapshots/ow14-s0213.json,4,4,true
214,deterministic_structural,ow14-s0214,1,model-facing/candidate-snapshots/ow14-s0214.json,4,4,true
215,deterministic_structural,ow14-s0215,1,model-facing/candidate-snapshots/ow14-s0215.json,4,4,true
216,deterministic_structural,ow14-s0216,1,model-facing/candidate-snapshots/ow14-s0216.json,4,4,true
217,deterministic_structural,ow14-s0217,1,model-facing/candidate-snapshots/ow14-s0217.json,4,4,true
218,deterministic_structural,ow14-s0218,1,model-facing/candidate-snapshots/ow14-s0218.json,4,4,true
219,deterministic_structural,ow14-s0219,1,model-facing/candidate-snapshots/ow14-s0219.json,4,4,true
220,deterministic_structural,ow14-s0220,1,model-facing/candidate-snapshots/ow14-s0220.json,4,4,true
221,deterministic_structural,ow14-s0221,1,model-facing/candidate-snapshots/ow14-s0221.json,4,4,true
222,deterministic_structural,ow14-s0222,1,model-facing/candidate-snapshots/ow14-s0222.json,4,4,true
223,deterministic_structural,ow14-s0223,1,model-facing/candidate-snapshots/ow14-s0223.json,4,4,true
224,deterministic_structural,ow14-s0224,1,model-facing/candidate-snapshots/ow14-s0224.json,4,4,true
225,deterministic_structural,ow14-s0225,1,model-facing/candidate-snapshots/ow14-s0225.json,4,4,true
226,deterministic_structural,ow14-s0226,1,model-facing/candidate-snapshots/ow14-s0226.json,4,4,true
227,deterministic_structural,ow14-s0227,1,model-facing/candidate-snapshots/ow14-s0227.json,4,4,true
228,deterministic_structural,ow14-s0228,1,model-facing/candidate-snapshots/ow14-s0228.json,4,4,true
229,deterministic_structural,ow14-s0229,1,model-facing/candidate-snapshots/ow14-s0229.json,4,4,true
230,deterministic_structural,ow14-s0230,1,model-facing/candidate-snapshots/ow14-s0230.json,4,4,true
231,deterministic_structural,ow14-s0231,1,model-facing/candidate-snapshots/ow14-s0231.json,4,4,true
232,deterministic_structural,ow14-s0232,1,model-facing/candidate-snapshots/ow14-s0232.json,4,4,true
233,deterministic_structural,ow14-s0233,1,model-facing/candidate-snapshots/ow14-s0233.json,4,4,true
234,deterministic_structural,ow14-s0234,1,model-facing/candidate-snapshots/ow14-s0234.json,4,4,true
235,deterministic_structural,ow14-s0235,1,model-facing/candidate-snapshots/ow14-s0235.json,4,4,true
236,deterministic_structural,ow14-s0236,1,model-facing/candidate-snapshots/ow14-s0236.json,4,4,true
237,deterministic_structural,ow14-s0237,1,model-facing/candidate-snapshots/ow14-s0237.json,4,4,true
238,deterministic_structural,ow14-s0238,1,model-facing/candidate-snapshots/ow14-s0238.json,4,4,true
239,deterministic_structural,ow14-s0239,1,model-facing/candidate-snapshots/ow14-s0239.json,4,4,true
240,deterministic_structural,ow14-s0240,1,model-facing/candidate-snapshots/ow14-s0240.json,4,4,true
241,deterministic_structural,ow14-s0241,1,model-facing/candidate-snapshots/ow14-s0241.json,4,4,true
242,deterministic_structural,ow14-s0242,1,model-facing/candidate-snapshots/ow14-s0242.json,4,4,true
243,deterministic_structural,ow14-s0243,1,model-facing/candidate-snapshots/ow14-s0243.json,4,4,true
244,deterministic_structural,ow14-s0244,1,model-facing/candidate-snapshots/ow14-s0244.json,4,4,true
245,deterministic_structural,ow14-s0245,1,model-facing/candidate-snapshots/ow14-s0245.json,4,4,true
246,deterministic_structural,ow14-s0246,1,model-facing/candidate-snapshots/ow14-s0246.json,4,4,true
247,deterministic_structural,ow14-s0247,1,model-facing/candidate-snapshots/ow14-s0247.json,4,4,true
248,deterministic_structural,ow14-s0248,1,model-facing/candidate-snapshots/ow14-s0248.json,4,4,true
249,deterministic_structural,ow14-s0249,1,model-facing/candidate-snapshots/ow14-s0249.json,4,4,true
250,deterministic_structural,ow14-s0250,1,model-facing/candidate-snapshots/ow14-s0250.json,4,4,true
251,deterministic_structural,ow14-s0251,1,model-facing/candidate-snapshots/ow14-s0251.json,4,4,true
252,deterministic_structural,ow14-s0252,1,model-facing/candidate-snapshots/ow14-s0252.json,4,4,true
253,deterministic_structural,ow14-s0253,1,model-facing/candidate-snapshots/ow14-s0253.json,4,4,true
254,deterministic_structural,ow14-s0254,1,model-facing/candidate-snapshots/ow14-s0254.json,4,4,true
255,deterministic_structural,ow14-s0255,1,model-facing/candidate-snapshots/ow14-s0255.json,4,4,true
256,deterministic_structural,ow14-s0256,1,model-facing/candidate-snapshots/ow14-s0256.json,4,4,true
257,deterministic_structural,ow14-s0257,1,model-facing/candidate-snapshots/ow14-s0257.json,4,4,true
258,deterministic_structural,ow14-s0258,1,model-facing/candidate-snapshots/ow14-s0258.json,4,4,true
259,deterministic_structural,ow14-s0259,1,model-facing/candidate-snapshots/ow14-s0259.json,4,4,true
260,deterministic_structural,ow14-s0260,1,model-facing/candidate-snapshots/ow14-s0260.json,4,4,true
261,deterministic_structural,ow14-s0261,1,model-facing/candidate-snapshots/ow14-s0261.json,4,4,true
262,deterministic_structural,ow14-s0262,1,model-facing/candidate-snapshots/ow14-s0262.json,4,4,true
263,deterministic_structural,ow14-s0263,1,model-facing/candidate-snapshots/ow14-s0263.json,4,4,true
264,deterministic_structural,ow14-s0264,1,model-facing/candidate-snapshots/ow14-s0264.json,4,4,true
265,deterministic_structural,ow14-s0265,1,model-facing/candidate-snapshots/ow14-s0265.json,4,4,true
266,deterministic_structural,ow14-s0266,1,model-facing/candidate-snapshots/ow14-s0266.json,4,4,true
267,proprietary_gpt,ow14-s0001,1,model-facing/candidate-snapshots/ow14-s0001.json,4,4,true
268,proprietary_gpt,ow14-s0001,2,model-facing/candidate-snapshots/ow14-s0001.json,4,4,true
269,proprietary_gpt,ow14-s0001,3,model-facing/candidate-snapshots/ow14-s0001.json,4,4,true
270,proprietary_gpt,ow14-s0001,4,model-facing/candidate-snapshots/ow14-s0001.json,4,4,true
271,proprietary_gpt,ow14-s0001,5,model-facing/candidate-snapshots/ow14-s0001.json,4,4,true
272,proprietary_gpt,ow14-s0002,1,model-facing/candidate-snapshots/ow14-s0002.json,4,4,true
273,proprietary_gpt,ow14-s0002,2,model-facing/candidate-snapshots/ow14-s0002.json,4,4,true
274,proprietary_gpt,ow14-s0002,3,model-facing/candidate-snapshots/ow14-s0002.json,4,4,true
275,proprietary_gpt,ow14-s0002,4,model-facing/candidate-snapshots/ow14-s0002.json,4,4,true
276,proprietary_gpt,ow14-s0002,5,model-facing/candidate-snapshots/ow14-s0002.json,4,4,true
277,proprietary_gpt,ow14-s0003,1,model-facing/candidate-snapshots/ow14-s0003.json,4,4,true
278,proprietary_gpt,ow14-s0003,2,model-facing/candidate-snapshots/ow14-s0003.json,4,4,true
