scenario_id,scenario_type,trial_number,input_order,output_ranking,exact_input_order_match,ascending_candidate_id_order,descending_candidate_id_order,exact_ascending_candidate_id_order_match,exact_descending_candidate_id_order_match,spearman_ascending_candidate_id_order
ow14-s0003,positive,4,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,true,ox14-c000184 ox14-c000254 ox14-c000259 ox14-c000326 ox14-c000333,ox14-c000333 ox14-c000326 ox14-c000259 ox14-c000254 ox14-c000184,false,false,-0.1000000000
ow14-s0003,positive,5,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,ox14-c000259 ox14-c000326 ox14-c000184 ox14-c000333 ox14-c000254,true,ox14-c000184 ox14-c000254 ox14-c000259 ox14-c000326 ox14-c000333,ox14-c000333 ox14-c000326 ox14-c000259 ox14-c000254 ox14-c000184,false,false,-0.1000000000
ow14-s0004,positive,1,ox14-c000055 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031,ox14-c000229 ox14-c000055 ox14-c000355 ox14-c000278 ox14-c000031,false,ox14-c000031 ox14-c000055 ox14-c000229 ox14-c000278 ox14-c000355,ox14-c000355 ox14-c000278 ox14-c000229 ox14-c000055 ox14-c000031,false,false,-0.2000000000
ow14-s0004,positive,2,ox14-c000055 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031,ox14-c000229 ox14-c000055 ox14-c000355 ox14-c000278 ox14-c000031,false,ox14-c000031 ox14-c000055 ox14-c000229 ox14-c000278 ox14-c000355,ox14-c000355 ox14-c000278 ox14-c000229 ox14-c000055 ox14-c000031,false,false,-0.2000000000
ow14-s0004,positive,3,ox14-c000055 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031,ox14-c000229 ox14-c000055 ox14-c000355 ox14-c000278 ox14-c000031,false,ox14-c000031 ox14-c000055 ox14-c000229 ox14-c000278 ox14-c000355,ox14-c000355 ox14-c000278 ox14-c000229 ox14-c000055 ox14-c000031,false,false,-0.2000000000
ow14-s0004,positive,4,ox14-c000055 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031,ox14-c000229 ox14-c000055 ox14-c000355 ox14-c000278 ox14-c000031,false,ox14-c000031 ox14-c000055 ox14-c000229 ox14-c000278 ox14-c000355,ox14-c000355 ox14-c000278 ox14-c000229 ox14-c000055 ox14-c000031,false,false,-0.2000000000
ow14-s0004,positive,5,ox14-c000055 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031,ox14-c000229 ox14-c000055 ox14-c000355 ox14-c000278 ox14-c000031,false,ox14-c000031 ox14-c000055 ox14-c000229 ox14-c000278 ox14-c000355,ox14-c000355 ox14-c000278 ox14-c000229 ox14-c000055 ox14-c000031,false,false,-0.2000000000
ow14-s0005,positive,1,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,true,ox14-c000065 ox14-c000098 ox14-c000125 ox14-c000204 ox14-c000294,ox14-c000294 ox14-c000204 ox14-c000125 ox14-c000098 ox14-c000065,false,false,-0.7000000000
ow14-s0005,positive,2,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,true,ox14-c000065 ox14-c000098 ox14-c000125 ox14-c000204 ox14-c000294,ox14-c000294 ox14-c000204 ox14-c000125 ox14-c000098 ox14-c000065,false,false,-0.7000000000
ow14-s0005,positive,3,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,true,ox14-c000065 ox14-c000098 ox14-c000125 ox14-c000204 ox14-c000294,ox14-c000294 ox14-c000204 ox14-c000125 ox14-c000098 ox14-c000065,false,false,-0.7000000000
ow14-s0005,positive,4,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,true,ox14-c000065 ox14-c000098 ox14-c000125 ox14-c000204 ox14-c000294,ox14-c000294 ox14-c000204 ox14-c000125 ox14-c000098 ox14-c000065,false,false,-0.7000000000
ow14-s0005,positive,5,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,ox14-c000294 ox14-c000204 ox14-c000065 ox14-c000125 ox14-c000098,true,ox14-c000065 ox14-c000098 ox14-c000125 ox14-c000204 ox14-c000294,ox14-c000294 ox14-c000204 ox14-c000125 ox14-c000098 ox14-c000065,false,false,-0.7000000000
ow14-s0006,positive,1,ox14-c000164 ox14-c000044 ox14-c000334 ox14-c000066 ox14-c000409,ox14-c000044 ox14-c000334 ox14-c000409 ox14-c000066 ox14-c000164,false,ox14-c000044 ox14-c000066 ox14-c000164 ox14-c000334 ox14-c000409,ox14-c000409 ox14-c000334 ox14-c000164 ox14-c000066 ox14-c000044,false,false,0.2000000000
ow14-s0006,positive,2,ox14-c000164 ox14-c000044 ox14-c000334 ox14-c000066 ox14-c000409,ox14-c000044 ox14-c000334 ox14-c000409 ox14-c000066 ox14-c000164,false,ox14-c000044 ox14-c000066 ox14-c000164 ox14-c000334 ox14-c000409,ox14-c000409 ox14-c000334 ox14-c000164 ox14-c000066 ox14-c000044,false,false,0.2000000000
ow14-s0006,positive,3,ox14-c000164 ox14-c000044 ox14-c000334 ox14-c000066 ox14-c000409,ox14-c000044 ox14-c000334 ox14-c000409 ox14-c000066 ox14-c000164,false,ox14-c000044 ox14-c000066 ox14-c000164 ox14-c000334 ox14-c000409,ox14-c000409 ox14-c000334 ox14-c000164 ox14-c000066 ox14-c000044,false,false,0.2000000000
ow14-s0006,positive,4,ox14-c000164 ox14-c000044 ox14-c000334 ox14-c000066 ox14-c000409,ox14-c000044 ox14-c000334 ox14-c000409 ox14-c000066 ox14-c000164,false,ox14-c000044 ox14-c000066 ox14-c000164 ox14-c000334 ox14-c000409,ox14-c000409 ox14-c000334 ox14-c000164 ox14-c000066 ox14-c000044,false,false,0.2000000000
ow14-s0006,positive,5,ox14-c000164 ox14-c000044 ox14-c000334 ox14-c000066 ox14-c000409,ox14-c000044 ox14-c000334 ox14-c000409 ox14-c000066 ox14-c000164,false,ox14-c000044 ox14-c000066 ox14-c000164 ox14-c000334 ox14-c000409,ox14-c000409 ox14-c000334 ox14-c000164 ox14-c000066 ox14-c000044,false,false,0.2000000000
ow14-s0007,positive,1,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000432 ox14-c000255,ox14-c000432 ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000255,false,ox14-c000112 ox14-c000208 ox14-c000255 ox14-c000261 ox14-c000432,ox14-c000432 ox14-c000261 ox14-c000255 ox14-c000208 ox14-c000112,false,false,-0.2000000000
ow14-s0007,positive,2,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000432 ox14-c000255,ox14-c000432 ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000255,false,ox14-c000112 ox14-c000208 ox14-c000255 ox14-c000261 ox14-c000432,ox14-c000432 ox14-c000261 ox14-c000255 ox14-c000208 ox14-c000112,false,false,-0.2000000000
ow14-s0007,positive,3,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000432 ox14-c000255,ox14-c000432 ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000255,false,ox14-c000112 ox14-c000208 ox14-c000255 ox14-c000261 ox14-c000432,ox14-c000432 ox14-c000261 ox14-c000255 ox14-c000208 ox14-c000112,false,false,-0.2000000000
ow14-s0007,positive,4,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000432 ox14-c000255,ox14-c000432 ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000255,false,ox14-c000112 ox14-c000208 ox14-c000255 ox14-c000261 ox14-c000432,ox14-c000432 ox14-c000261 ox14-c000255 ox14-c000208 ox14-c000112,false,false,-0.2000000000
ow14-s0007,positive,5,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000432 ox14-c000255,ox14-c000432 ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000255,false,ox14-c000112 ox14-c000208 ox14-c000255 ox14-c000261 ox14-c000432,ox14-c000432 ox14-c000261 ox14-c000255 ox14-c000208 ox14-c000112,false,false,-0.2000000000
ow14-s0008,positive,1,ox14-c000362 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000173,ox14-c000362 ox14-c000224 ox14-c000414 ox14-c000310 ox14-c000173,false,ox14-c000173 ox14-c000224 ox14-c000310 ox14-c000362 ox14-c000414,ox14-c000414 ox14-c000362 ox14-c000310 ox14-c000224 ox14-c000173,false,false,-0.5000000000
ow14-s0008,positive,2,ox14-c000362 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000173,ox14-c000362 ox14-c000224 ox14-c000414 ox14-c000310 ox14-c000173,false,ox14-c000173 ox14-c000224 ox14-c000310 ox14-c000362 ox14-c000414,ox14-c000414 ox14-c000362 ox14-c000310 ox14-c000224 ox14-c000173,false,false,-0.5000000000
ow14-s0008,positive,3,ox14-c000362 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000173,ox14-c000362 ox14-c000224 ox14-c000414 ox14-c000310 ox14-c000173,false,ox14-c000173 ox14-c000224 ox14-c000310 ox14-c000362 ox14-c000414,ox14-c000414 ox14-c000362 ox14-c000310 ox14-c000224 ox14-c000173,false,false,-0.5000000000
ow14-s0008,positive,4,ox14-c000362 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000173,ox14-c000362 ox14-c000224 ox14-c000414 ox14-c000310 ox14-c000173,false,ox14-c000173 ox14-c000224 ox14-c000310 ox14-c000362 ox14-c000414,ox14-c000414 ox14-c000362 ox14-c000310 ox14-c000224 ox14-c000173,false,false,-0.5000000000
ow14-s0008,positive,5,ox14-c000362 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000173,ox14-c000362 ox14-c000224 ox14-c000414 ox14-c000310 ox14-c000173,false,ox14-c000173 ox14-c000224 ox14-c000310 ox14-c000362 ox14-c000414,ox14-c000414 ox14-c000362 ox14-c000310 ox14-c000224 ox14-c000173,false,false,-0.5000000000
ow14-s0009,positive,1,ox14-c000402 ox14-c000210 ox14-c000063 ox14-c000391 ox14-c000036,ox14-c000036 ox14-c000210 ox14-c000063 ox14-c000402 ox14-c000391,false,ox14-c000036 ox14-c000063 ox14-c000210 ox14-c000391 ox14-c000402,ox14-c000402 ox14-c000391 ox14-c000210 ox14-c000063 ox14-c000036,false,false,0.8000000000
ow14-s0009,positive,2,ox14-c000402 ox14-c000210 ox14-c000063 ox14-c000391 ox14-c000036,ox14-c000036 ox14-c000210 ox14-c000063 ox14-c000402 ox14-c000391,false,ox14-c000036 ox14-c000063 ox14-c000210 ox14-c000391 ox14-c000402,ox14-c000402 ox14-c000391 ox14-c000210 ox14-c000063 ox14-c000036,false,false,0.8000000000
ow14-s0009,positive,3,ox14-c000402 ox14-c000210 ox14-c000063 ox14-c000391 ox14-c000036,ox14-c000036 ox14-c000210 ox14-c000063 ox14-c000402 ox14-c000391,false,ox14-c000036 ox14-c000063 ox14-c000210 ox14-c000391 ox14-c000402,ox14-c000402 ox14-c000391 ox14-c000210 ox14-c000063 ox14-c000036,false,false,0.8000000000
ow14-s0009,positive,4,ox14-c000402 ox14-c000210 ox14-c000063 ox14-c000391 ox14-c000036,ox14-c000036 ox14-c000210 ox14-c000063 ox14-c000402 ox14-c000391,false,ox14-c000036 ox14-c000063 ox14-c000210 ox14-c000391 ox14-c000402,ox14-c000402 ox14-c000391 ox14-c000210 ox14-c000063 ox14-c000036,false,false,0.8000000000
ow14-s0009,positive,5,ox14-c000402 ox14-c000210 ox14-c000063 ox14-c000391 ox14-c000036,ox14-c000036 ox14-c000210 ox14-c000063 ox14-c000402 ox14-c000391,false,ox14-c000036 ox14-c000063 ox14-c000210 ox14-c000391 ox14-c000402,ox14-c000402 ox14-c000391 ox14-c000210 ox14-c000063 ox14-c000036,false,false,0.8000000000
ow14-s0010,positive,1,ox14-c000225 ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067,ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067 ox14-c000225,false,ox14-c000067 ox14-c000225 ox14-c000252 ox14-c000320 ox14-c000349,ox14-c000349 ox14-c000320 ox14-c000252 ox14-c000225 ox14-c000067,false,false,-0.6000000000
ow14-s0010,positive,2,ox14-c000225 ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067,ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067 ox14-c000225,false,ox14-c000067 ox14-c000225 ox14-c000252 ox14-c000320 ox14-c000349,ox14-c000349 ox14-c000320 ox14-c000252 ox14-c000225 ox14-c000067,false,false,-0.6000000000
ow14-s0010,positive,3,ox14-c000225 ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067,ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067 ox14-c000225,false,ox14-c000067 ox14-c000225 ox14-c000252 ox14-c000320 ox14-c000349,ox14-c000349 ox14-c000320 ox14-c000252 ox14-c000225 ox14-c000067,false,false,-0.6000000000
ow14-s0010,positive,4,ox14-c000225 ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067,ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067 ox14-c000225,false,ox14-c000067 ox14-c000225 ox14-c000252 ox14-c000320 ox14-c000349,ox14-c000349 ox14-c000320 ox14-c000252 ox14-c000225 ox14-c000067,false,false,-0.6000000000
ow14-s0010,positive,5,ox14-c000225 ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067,ox14-c000320 ox14-c000252 ox14-c000349 ox14-c000067 ox14-c000225,false,ox14-c000067 ox14-c000225 ox14-c000252 ox14-c000320 ox14-c000349,ox14-c000349 ox14-c000320 ox14-c000252 ox14-c000225 ox14-c000067,false,false,-0.6000000000
ow14-s0011,positive,1,ox14-c000329 ox14-c000369 ox14-c000165 ox14-c000140 ox14-c000090,ox14-c000165 ox14-c000329 ox14-c000140 ox14-c000369 ox14-c000090,false,ox14-c000090 ox14-c000140 ox14-c000165 ox14-c000329 ox14-c000369,ox14-c000369 ox14-c000329 ox14-c000165 ox14-c000140 ox14-c000090,false,false,-0.3000000000
ow14-s0011,positive,2,ox14-c000329 ox14-c000369 ox14-c000165 ox14-c000140 ox14-c000090,ox14-c000165 ox14-c000329 ox14-c000140 ox14-c000369 ox14-c000090,false,ox14-c000090 ox14-c000140 ox14-c000165 ox14-c000329 ox14-c000369,ox14-c000369 ox14-c000329 ox14-c000165 ox14-c000140 ox14-c000090,false,false,-0.3000000000
ow14-s0011,positive,3,ox14-c000329 ox14-c000369 ox14-c000165 ox14-c000140 ox14-c000090,ox14-c000165 ox14-c000329 ox14-c000140 ox14-c000369 ox14-c000090,false,ox14-c000090 ox14-c000140 ox14-c000165 ox14-c000329 ox14-c000369,ox14-c000369 ox14-c000329 ox14-c000165 ox14-c000140 ox14-c000090,false,false,-0.3000000000
ow14-s0011,positive,4,ox14-c000329 ox14-c000369 ox14-c000165 ox14-c000140 ox14-c000090,ox14-c000165 ox14-c000329 ox14-c000140 ox14-c000369 ox14-c000090,false,ox14-c000090 ox14-c000140 ox14-c000165 ox14-c000329 ox14-c000369,ox14-c000369 ox14-c000329 ox14-c000165 ox14-c000140 ox14-c000090,false,false,-0.3000000000
ow14-s0011,positive,5,ox14-c000329 ox14-c000369 ox14-c000165 ox14-c000140 ox14-c000090,ox14-c000165 ox14-c000329 ox14-c000140 ox14-c000369 ox14-c000090,false,ox14-c000090 ox14-c000140 ox14-c000165 ox14-c000329 ox14-c000369,ox14-c000369 ox14-c000329 ox14-c000165 ox14-c000140 ox14-c000090,false,false,-0.3000000000
ow14-s0012,positive,1,ox14-c000244 ox14-c000072 ox14-c000265 ox14-c000081 ox14-c000389,ox14-c000072 ox14-c000389 ox14-c000244 ox14-c000265 ox14-c000081,false,ox14-c000072 ox14-c000081 ox14-c000244 ox14-c000265 ox14-c000389,ox14-c000389 ox14-c000265 ox14-c000244 ox14-c000081 ox14-c000072,false,false,0.1000000000
ow14-s0012,positive,2,ox14-c000244 ox14-c000072 ox14-c000265 ox14-c000081 ox14-c000389,ox14-c000072 ox14-c000389 ox14-c000244 ox14-c000265 ox14-c000081,false,ox14-c000072 ox14-c000081 ox14-c000244 ox14-c000265 ox14-c000389,ox14-c000389 ox14-c000265 ox14-c000244 ox14-c000081 ox14-c000072,false,false,0.1000000000
ow14-s0012,positive,3,ox14-c000244 ox14-c000072 ox14-c000265 ox14-c000081 ox14-c000389,ox14-c000072 ox14-c000389 ox14-c000244 ox14-c000265 ox14-c000081,false,ox14-c000072 ox14-c000081 ox14-c000244 ox14-c000265 ox14-c000389,ox14-c000389 ox14-c000265 ox14-c000244 ox14-c000081 ox14-c000072,false,false,0.1000000000
ow14-s0012,positive,4,ox14-c000244 ox14-c000072 ox14-c000265 ox14-c000081 ox14-c000389,ox14-c000072 ox14-c000389 ox14-c000244 ox14-c000265 ox14-c000081,false,ox14-c000072 ox14-c000081 ox14-c000244 ox14-c000265 ox14-c000389,ox14-c000389 ox14-c000265 ox14-c000244 ox14-c000081 ox14-c000072,false,false,0.1000000000
ow14-s0012,positive,5,ox14-c000244 ox14-c000072 ox14-c000265 ox14-c000081 ox14-c000389,ox14-c000072 ox14-c000389 ox14-c000244 ox14-c000265 ox14-c000081,false,ox14-c000072 ox14-c000081 ox14-c000244 ox14-c000265 ox14-c000389,ox14-c000389 ox14-c000265 ox14-c000244 ox14-c000081 ox14-c000072,false,false,0.1000000000
ow14-s0013,positive,1,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,true,ox14-c000046 ox14-c000211 ox14-c000246 ox14-c000323 ox14-c000380,ox14-c000380 ox14-c000323 ox14-c000246 ox14-c000211 ox14-c000046,false,false,-0.7000000000
ow14-s0013,positive,2,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,true,ox14-c000046 ox14-c000211 ox14-c000246 ox14-c000323 ox14-c000380,ox14-c000380 ox14-c000323 ox14-c000246 ox14-c000211 ox14-c000046,false,false,-0.7000000000
ow14-s0013,positive,3,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,true,ox14-c000046 ox14-c000211 ox14-c000246 ox14-c000323 ox14-c000380,ox14-c000380 ox14-c000323 ox14-c000246 ox14-c000211 ox14-c000046,false,false,-0.7000000000
ow14-s0013,positive,4,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,true,ox14-c000046 ox14-c000211 ox14-c000246 ox14-c000323 ox14-c000380,ox14-c000380 ox14-c000323 ox14-c000246 ox14-c000211 ox14-c000046,false,false,-0.7000000000
ow14-s0013,positive,5,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,ox14-c000323 ox14-c000246 ox14-c000380 ox14-c000211 ox14-c000046,true,ox14-c000046 ox14-c000211 ox14-c000246 ox14-c000323 ox14-c000380,ox14-c000380 ox14-c000323 ox14-c000246 ox14-c000211 ox14-c000046,false,false,-0.7000000000
ow14-s0014,positive,1,ox14-c000025 ox14-c000108 ox14-c000181 ox14-c000068 ox14-c000121,ox14-c000108 ox14-c000121 ox14-c000068 ox14-c000025 ox14-c000181,false,ox14-c000025 ox14-c000068 ox14-c000108 ox14-c000121 ox14-c000181,ox14-c000181 ox14-c000121 ox14-c000108 ox14-c000068 ox14-c000025,false,false,0.1000000000
ow14-s0014,positive,2,ox14-c000025 ox14-c000108 ox14-c000181 ox14-c000068 ox14-c000121,ox14-c000108 ox14-c000121 ox14-c000068 ox14-c000025 ox14-c000181,false,ox14-c000025 ox14-c000068 ox14-c000108 ox14-c000121 ox14-c000181,ox14-c000181 ox14-c000121 ox14-c000108 ox14-c000068 ox14-c000025,false,false,0.1000000000
ow14-s0014,positive,3,ox14-c000025 ox14-c000108 ox14-c000181 ox14-c000068 ox14-c000121,ox14-c000108 ox14-c000121 ox14-c000068 ox14-c000025 ox14-c000181,false,ox14-c000025 ox14-c000068 ox14-c000108 ox14-c000121 ox14-c000181,ox14-c000181 ox14-c000121 ox14-c000108 ox14-c000068 ox14-c000025,false,false,0.1000000000
ow14-s0014,positive,4,ox14-c000025 ox14-c000108 ox14-c000181 ox14-c000068 ox14-c000121,ox14-c000108 ox14-c000121 ox14-c000068 ox14-c000025 ox14-c000181,false,ox14-c000025 ox14-c000068 ox14-c000108 ox14-c000121 ox14-c000181,ox14-c000181 ox14-c000121 ox14-c000108 ox14-c000068 ox14-c000025,false,false,0.1000000000
ow14-s0014,positive,5,ox14-c000025 ox14-c000108 ox14-c000181 ox14-c000068 ox14-c000121,ox14-c000108 ox14-c000121 ox14-c000068 ox14-c000025 ox14-c000181,false,ox14-c000025 ox14-c000068 ox14-c000108 ox14-c000121 ox14-c000181,ox14-c000181 ox14-c000121 ox14-c000108 ox14-c000068 ox14-c000025,false,false,0.1000000000
ow14-s0015,positive,1,ox14-c000197 ox14-c000012 ox14-c000415 ox14-c000058 ox14-c000037,ox14-c000037 ox14-c000012 ox14-c000415 ox14-c000197 ox14-c000058,false,ox14-c000012 ox14-c000037 ox14-c000058 ox14-c000197 ox14-c000415,ox14-c000415 ox14-c000197 ox14-c000058 ox14-c000037 ox14-c000012,false,false,0.5000000000
ow14-s0015,positive,2,ox14-c000197 ox14-c000012 ox14-c000415 ox14-c000058 ox14-c000037,ox14-c000037 ox14-c000012 ox14-c000415 ox14-c000197 ox14-c000058,false,ox14-c000012 ox14-c000037 ox14-c000058 ox14-c000197 ox14-c000415,ox14-c000415 ox14-c000197 ox14-c000058 ox14-c000037 ox14-c000012,false,false,0.5000000000
ow14-s0015,positive,3,ox14-c000197 ox14-c000012 ox14-c000415 ox14-c000058 ox14-c000037,ox14-c000037 ox14-c000012 ox14-c000415 ox14-c000197 ox14-c000058,false,ox14-c000012 ox14-c000037 ox14-c000058 ox14-c000197 ox14-c000415,ox14-c000415 ox14-c000197 ox14-c000058 ox14-c000037 ox14-c000012,false,false,0.5000000000
