scenario_id,focal_vulnerable_candidate_id,initial_position,input_order
ow14-s0024,ox14-c000356,3,ox14-c000207 ox14-c000268 ox14-c000356 ox14-c000220 ox14-c000177
ow14-s0025,ox14-c000309,5,ox14-c000026 ox14-c000061 ox14-c000434 ox14-c000314 ox14-c000309
ow14-s0026,ox14-c000242,4,ox14-c000109 ox14-c000219 ox14-c000273 ox14-c000242 ox14-c000034
ow14-s0027,ox14-c000241,5,ox14-c000405 ox14-c000303 ox14-c000101 ox14-c000363 ox14-c000241
ow14-s0028,ox14-c000091,1,ox14-c000091 ox14-c000100 ox14-c000226 ox14-c000111 ox14-c000064
ow14-s0029,ox14-c000057,5,ox14-c000212 ox14-c000387 ox14-c000048 ox14-c000141 ox14-c000057
ow14-s0030,ox14-c000049,5,ox14-c000082 ox14-c000423 ox14-c000399 ox14-c000251 ox14-c000049
ow14-s0031,ox14-c000069,4,ox14-c000410 ox14-c000085 ox14-c000296 ox14-c000069 ox14-c000077
ow14-s0032,ox14-c000132,1,ox14-c000132 ox14-c000118 ox14-c000395 ox14-c000353 ox14-c000223
ow14-s0033,ox14-c000394,2,ox14-c000311 ox14-c000394 ox14-c000315 ox14-c000307 ox14-c000188
ow14-s0034,ox14-c000027,3,ox14-c000161 ox14-c000167 ox14-c000027 ox14-c000404 ox14-c000351
ow14-s0035,ox14-c000217,5,ox14-c000029 ox14-c000272 ox14-c000429 ox14-c000117 ox14-c000217
ow14-s0036,ox14-c000089,2,ox14-c000377 ox14-c000089 ox14-c000346 ox14-c000185 ox14-c000136
ow14-s0037,ox14-c000190,4,ox14-c000247 ox14-c000070 ox14-c000198 ox14-c000190 ox14-c000396
ow14-s0038,ox14-c000171,4,ox14-c000099 ox14-c000056 ox14-c000023 ox14-c000171 ox14-c000102
ow14-s0039,ox14-c000305,4,ox14-c000348 ox14-c000030 ox14-c000236 ox14-c000305 ox14-c000189
ow14-s0040,ox14-c000324,2,ox14-c000341 ox14-c000324 ox14-c000209 ox14-c000426 ox14-c000083
ow14-s0041,ox14-c000327,2,ox14-c000184 ox14-c000327 ox14-c000254 ox14-c000259 ox14-c000333
ow14-s0042,ox14-c000328,1,ox14-c000328 ox14-c000229 ox14-c000031 ox14-c000355 ox14-c000278
ow14-s0043,ox14-c000200,4,ox14-c000125 ox14-c000204 ox14-c000065 ox14-c000200 ox14-c000294
ow14-s0044,ox14-c000397,1,ox14-c000397 ox14-c000164 ox14-c000409 ox14-c000044 ox14-c000066
ow14-s0045,ox14-c000174,1,ox14-c000174 ox14-c000432 ox14-c000112 ox14-c000208 ox14-c000261
ow14-s0046,ox14-c000408,2,ox14-c000310 ox14-c000408 ox14-c000414 ox14-c000224 ox14-c000362
ow14-s0047,ox14-c000134,3,ox14-c000036 ox14-c000210 ox14-c000134 ox14-c000402 ox14-c000391
ow14-s0048,ox14-c000032,1,ox14-c000032 ox14-c000067 ox14-c000252 ox14-c000225 ox14-c000320
ow14-s0049,ox14-c000186,4,ox14-c000140 ox14-c000165 ox14-c000090 ox14-c000186 ox14-c000369
ow14-s0050,ox14-c000368,3,ox14-c000072 ox14-c000081 ox14-c000368 ox14-c000389 ox14-c000265
ow14-s0051,ox14-c000234,3,ox14-c000246 ox14-c000046 ox14-c000234 ox14-c000323 ox14-c000211
ow14-s0052,ox14-c000231,3,ox14-c000025 ox14-c000181 ox14-c000231 ox14-c000108 ox14-c000121
ow14-s0053,ox14-c000042,3,ox14-c000012 ox14-c000037 ox14-c000042 ox14-c000197 ox14-c000058
ow14-s0054,ox14-c000086,2,ox14-c000245 ox14-c000086 ox14-c000374 ox14-c000354 ox14-c000270
ow14-s0055,ox14-c000228,2,ox14-c000127 ox14-c000228 ox14-c000087 ox14-c000033 ox14-c000075
ow14-s0056,ox14-c000412,5,ox14-c000277 ox14-c000406 ox14-c000352 ox14-c000297 ox14-c000412
ow14-s0057,ox14-c000092,4,ox14-c000113 ox14-c000060 ox14-c000357 ox14-c000092 ox14-c000183
ow14-s0058,ox14-c000425,1,ox14-c000425 ox14-c000293 ox14-c000381 ox14-c000103 ox14-c000398
ow14-s0059,ox14-c000129,5,ox14-c000093 ox14-c000373 ox14-c000422 ox14-c000107 ox14-c000129
ow14-s0060,ox14-c000084,2,ox14-c000427 ox14-c000084 ox14-c000337 ox14-c000053 ox14-c000350
ow14-s0061,ox14-c000002,4,ox14-c000384 ox14-c000016 ox14-c000344 ox14-c000002 ox14-c000216
ow14-s0062,ox14-c000079,3,ox14-c000220 ox14-c000177 ox14-c000079 ox14-c000207 ox14-c000268
ow14-s0063,ox14-c000417,3,ox14-c000314 ox14-c000026 ox14-c000417 ox14-c000061 ox14-c000434
ow14-s0064,ox14-c000019,3,ox14-c000034 ox14-c000273 ox14-c000019 ox14-c000219 ox14-c000109
ow14-s0065,ox14-c000347,4,ox14-c000405 ox14-c000101 ox14-c000363 ox14-c000347 ox14-c000303
ow14-s0066,ox14-c000039,3,ox14-c000100 ox14-c000226 ox14-c000039 ox14-c000064 ox14-c000111
ow14-s0067,ox14-c000385,2,ox14-c000212 ox14-c000385 ox14-c000048 ox14-c000141 ox14-c000387
ow14-s0068,ox14-c000248,1,ox14-c000248 ox14-c000399 ox14-c000082 ox14-c000251 ox14-c000423
ow14-s0069,ox14-c000179,4,ox14-c000296 ox14-c000410 ox14-c000077 ox14-c000179 ox14-c000085
ow14-s0070,ox14-c000343,1,ox14-c000343 ox14-c000395 ox14-c000223 ox14-c000118 ox14-c000353
ow14-s0071,ox14-c000116,2,ox14-c000311 ox14-c000116 ox14-c000307 ox14-c000315 ox14-c000188
ow14-s0072,ox14-c000271,3,ox14-c000404 ox14-c000167 ox14-c000271 ox14-c000351 ox14-c000161
ow14-s0073,ox14-c000304,1,ox14-c000304 ox14-c000272 ox14-c000429 ox14-c000029 ox14-c000117
ow14-s0074,ox14-c000335,2,ox14-c000185 ox14-c000335 ox14-c000346 ox14-c000136 ox14-c000377
ow14-s0075,ox14-c000104,3,ox14-c000198 ox14-c000070 ox14-c000104 ox14-c000396 ox14-c000247
ow14-s0076,ox14-c000163,2,ox14-c000023 ox14-c000163 ox14-c000056 ox14-c000099 ox14-c000102
ow14-s0077,ox14-c000054,3,ox14-c000030 ox14-c000189 ox14-c000054 ox14-c000236 ox14-c000348
ow14-s0078,ox14-c000342,4,ox14-c000341 ox14-c000083 ox14-c000209 ox14-c000342 ox14-c000426
ow14-s0079,ox14-c000340,2,ox14-c000254 ox14-c000340 ox14-c000259 ox14-c000184 ox14-c000333
ow14-s0080,ox14-c000383,1,ox14-c000383 ox14-c000278 ox14-c000355 ox14-c000031 ox14-c000229
ow14-s0081,ox14-c000435,3,ox14-c000125 ox14-c000065 ox14-c000435 ox14-c000294 ox14-c000204
ow14-s0082,ox14-c000131,3,ox14-c000044 ox14-c000066 ox14-c000131 ox14-c000164 ox14-c000409
ow14-s0083,ox14-c000301,3,ox14-c000208 ox14-c000432 ox14-c000301 ox14-c000261 ox14-c000112
ow14-s0084,ox14-c000332,2,ox14-c000224 ox14-c000332 ox14-c000362 ox14-c000310 ox14-c000414
ow14-s0085,ox14-c000264,5,ox14-c000402 ox14-c000036 ox14-c000210 ox14-c000391 ox14-c000264
ow14-s0086,ox14-c000421,3,ox14-c000067 ox14-c000320 ox14-c000421 ox14-c000225 ox14-c000252
ow14-s0087,ox14-c000319,3,ox14-c000165 ox14-c000090 ox14-c000319 ox14-c000140 ox14-c000369
ow14-s0088,ox14-c000312,2,ox14-c000072 ox14-c000312 ox14-c000265 ox14-c000389 ox14-c000081
ow14-s0089,ox14-c000367,3,ox14-c000323 ox14-c000046 ox14-c000367 ox14-c000211 ox14-c000246
ow14-s0090,ox14-c000266,4,ox14-c000121 ox14-c000181 ox14-c000025 ox14-c000266 ox14-c000108
ow14-s0091,ox14-c000040,1,ox14-c000040 ox14-c000058 ox14-c000012 ox14-c000197 ox14-c000037
ow14-s0092,ox14-c000159,2,ox14-c000374 ox14-c000159 ox14-c000270 ox14-c000245 ox14-c000354
ow14-s0093,ox14-c000336,3,ox14-c000033 ox14-c000075 ox14-c000336 ox14-c000087 ox14-c000127
ow14-s0094,ox14-c000370,3,ox14-c000277 ox14-c000352 ox14-c000370 ox14-c000297 ox14-c000406
ow14-s0095,ox14-c000133,5,ox14-c000357 ox14-c000183 ox14-c000113 ox14-c000060 ox14-c000133
ow14-s0096,ox14-c000004,1,ox14-c000004 ox14-c000398 ox14-c000103 ox14-c000293 ox14-c000381
ow14-s0097,ox14-c000074,1,ox14-c000074 ox14-c000093 ox14-c000373 ox14-c000422 ox14-c000107
ow14-s0098,ox14-c000275,3,ox14-c000427 ox14-c000053 ox14-c000275 ox14-c000350 ox14-c000337
ow14-s0099,ox14-c000428,3,ox14-c000344 ox14-c000384 ox14-c000428 ox14-c000016 ox14-c000216
ow14-s0100,ox14-c000306,4,ox14-c000207 ox14-c000220 ox14-c000177 ox14-c000306 ox14-c000268
ow14-s0101,ox14-c000007,5,ox14-c000314 ox14-c000434 ox14-c000026 ox14-c000061 ox14-c000007
ow14-s0102,ox14-c000359,5,ox14-c000273 ox14-c000109 ox14-c000219 ox14-c000034 ox14-c000359
ow14-s0103,ox14-c000269,2,ox14-c000405 ox14-c000269 ox14-c000101 ox14-c000363 ox14-c000303
ow14-s0104,ox14-c000403,3,ox14-c000111 ox14-c000064 ox14-c000403 ox14-c000100 ox14-c000226
ow14-s0105,ox14-c000003,2,ox14-c000212 ox14-c000003 ox14-c000387 ox14-c000048 ox14-c000141
ow14-s0106,ox14-c000202,1,ox14-c000202 ox14-c000399 ox14-c000082 ox14-c000251 ox14-c000423
ow14-s0107,ox14-c000430,3,ox14-c000410 ox14-c000085 ox14-c000430 ox14-c000077 ox14-c000296
ow14-s0108,ox14-c000018,5,ox14-c000118 ox14-c000395 ox14-c000223 ox14-c000353 ox14-c000018
ow14-s0109,ox14-c000020,2,ox14-c000307 ox14-c000020 ox14-c000315 ox14-c000311 ox14-c000188
ow14-s0110,ox14-c000232,5,ox14-c000351 ox14-c000167 ox14-c000161 ox14-c000404 ox14-c000232
ow14-s0111,ox14-c000119,4,ox14-c000029 ox14-c000117 ox14-c000429 ox14-c000119 ox14-c000272
ow14-s0112,ox14-c000378,1,ox14-c000378 ox14-c000136 ox14-c000346 ox14-c000185 ox14-c000377
ow14-s0113,ox14-c000094,1,ox14-c000094 ox14-c000396 ox14-c000198 ox14-c000070 ox14-c000247
ow14-s0114,ox14-c000139,3,ox14-c000102 ox14-c000099 ox14-c000139 ox14-c000023 ox14-c000056
ow14-s0115,ox14-c000006,2,ox14-c000189 ox14-c000006 ox14-c000348 ox14-c000236 ox14-c000030
ow14-s0116,ox14-c000120,3,ox14-c000083 ox14-c000426 ox14-c000120 ox14-c000341 ox14-c000209
ow14-s0117,ox14-c000221,4,ox14-c000333 ox14-c000184 ox14-c000259 ox14-c000221 ox14-c000254
ow14-s0118,ox14-c000010,3,ox14-c000031 ox14-c000355 ox14-c000010 ox14-c000229 ox14-c000278
ow14-s0119,ox14-c000169,4,ox14-c000294 ox14-c000204 ox14-c000125 ox14-c000169 ox14-c000065
ow14-s0120,ox14-c000050,3,ox14-c000409 ox14-c000164 ox14-c000050 ox14-c000044 ox14-c000066
ow14-s0121,ox14-c000214,4,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000214 ox14-c000432
ow14-s0122,ox14-c000256,4,ox14-c000224 ox14-c000414 ox14-c000362 ox14-c000256 ox14-c000310
ow14-s0123,ox14-c000199,5,ox14-c000391 ox14-c000036 ox14-c000402 ox14-c000210 ox14-c000199
ow14-s0124,ox14-c000160,4,ox14-c000225 ox14-c000067 ox14-c000252 ox14-c000160 ox14-c000320
ow14-s0125,ox14-c000393,1,ox14-c000393 ox14-c000369 ox14-c000140 ox14-c000090 ox14-c000165
ow14-s0126,ox14-c000366,4,ox14-c000081 ox14-c000072 ox14-c000265 ox14-c000366 ox14-c000389
ow14-s0127,ox14-c000114,4,ox14-c000246 ox14-c000211 ox14-c000323 ox14-c000114 ox14-c000046
ow14-s0128,ox14-c000418,2,ox14-c000025 ox14-c000418 ox14-c000108 ox14-c000181 ox14-c000121
ow14-s0129,ox14-c000124,5,ox14-c000058 ox14-c000012 ox14-c000037 ox14-c000197 ox14-c000124
ow14-s0130,ox14-c000339,4,ox14-c000270 ox14-c000245 ox14-c000354 ox14-c000339 ox14-c000374
ow14-s0131,ox14-c000045,1,ox14-c000045 ox14-c000033 ox14-c000127 ox14-c000087 ox14-c000075
ow14-s0132,ox14-c000382,1,ox14-c000382 ox14-c000352 ox14-c000406 ox14-c000297 ox14-c000277
ow14-s0133,ox14-c000192,2,ox14-c000357 ox14-c000192 ox14-c000060 ox14-c000113 ox14-c000183
ow14-s0134,ox14-c000358,1,ox14-c000358 ox14-c000103 ox14-c000381 ox14-c000293 ox14-c000398
ow14-s0135,ox14-c000201,2,ox14-c000093 ox14-c000201 ox14-c000373 ox14-c000422 ox14-c000107
ow14-s0136,ox14-c000300,1,ox14-c000300 ox14-c000427 ox14-c000337 ox14-c000350 ox14-c000053
ow14-s0137,ox14-c000205,3,ox14-c000216 ox14-c000016 ox14-c000205 ox14-c000384 ox14-c000344
ow14-s0138,ox14-c000321,1,ox14-c000321 ox14-c000220 ox14-c000177 ox14-c000268 ox14-c000207
ow14-s0139,ox14-c000175,1,ox14-c000175 ox14-c000026 ox14-c000061 ox14-c000434 ox14-c000314
ow14-s0140,ox14-c000137,3,ox14-c000109 ox14-c000273 ox14-c000137 ox14-c000034 ox14-c000219
ow14-s0141,ox14-c000021,1,ox14-c000021 ox14-c000363 ox14-c000405 ox14-c000303 ox14-c000101
ow14-s0142,ox14-c000170,5,ox14-c000226 ox14-c000064 ox14-c000100 ox14-c000111 ox14-c000170
ow14-s0143,ox14-c000318,4,ox14-c000212 ox14-c000141 ox14-c000387 ox14-c000318 ox14-c000048
ow14-s0144,ox14-c000194,4,ox14-c000251 ox14-c000423 ox14-c000399 ox14-c000194 ox14-c000082
ow14-s0145,ox14-c000135,2,ox14-c000077 ox14-c000135 ox14-c000085 ox14-c000410 ox14-c000296
ow14-s0146,ox14-c000052,4,ox14-c000353 ox14-c000223 ox14-c000118 ox14-c000052 ox14-c000395
ow14-s0147,ox14-c000433,2,ox14-c000311 ox14-c000433 ox14-c000315 ox14-c000307 ox14-c000188
ow14-s0148,ox14-c000243,3,ox14-c000167 ox14-c000161 ox14-c000243 ox14-c000404 ox14-c000351
ow14-s0149,ox14-c000372,5,ox14-c000272 ox14-c000117 ox14-c000029 ox14-c000429 ox14-c000372
ow14-s0150,ox14-c000267,4,ox14-c000377 ox14-c000346 ox14-c000136 ox14-c000267 ox14-c000185
ow14-s0151,ox14-c000022,1,ox14-c000022 ox14-c000247 ox14-c000396 ox14-c000198 ox14-c000070
ow14-s0152,ox14-c000017,4,ox14-c000099 ox14-c000056 ox14-c000102 ox14-c000017 ox14-c000023
ow14-s0153,ox14-c000388,1,ox14-c000388 ox14-c000348 ox14-c000236 ox14-c000189 ox14-c000030
ow14-s0154,ox14-c000073,3,ox14-c000341 ox14-c000209 ox14-c000073 ox14-c000426 ox14-c000083
ow14-s0155,ox14-c000095,4,ox14-c000254 ox14-c000184 ox14-c000259 ox14-c000095 ox14-c000333
ow14-s0156,ox14-c000047,1,ox14-c000047 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000031
ow14-s0157,ox14-c000230,5,ox14-c000294 ox14-c000065 ox14-c000204 ox14-c000125 ox14-c000230
ow14-s0158,ox14-c000043,3,ox14-c000164 ox14-c000066 ox14-c000043 ox14-c000044 ox14-c000409
ow14-s0159,ox14-c000416,4,ox14-c000208 ox14-c000112 ox14-c000261 ox14-c000416 ox14-c000432
ow14-s0160,ox14-c000196,5,ox14-c000414 ox14-c000310 ox14-c000224 ox14-c000362 ox14-c000196
ow14-s0161,ox14-c000096,2,ox14-c000210 ox14-c000096 ox14-c000402 ox14-c000391 ox14-c000036
ow14-s0162,ox14-c000413,3,ox14-c000320 ox14-c000225 ox14-c000413 ox14-c000067 ox14-c000252
ow14-s0163,ox14-c000411,4,ox14-c000369 ox14-c000090 ox14-c000165 ox14-c000411 ox14-c000140
ow14-s0164,ox14-c000386,5,ox14-c000081 ox14-c000389 ox14-c000072 ox14-c000265 ox14-c000386
ow14-s0165,ox14-c000168,1,ox14-c000168 ox14-c000211 ox14-c000246 ox14-c000323 ox14-c000046
ow14-s0166,ox14-c000071,4,ox14-c000181 ox14-c000025 ox14-c000108 ox14-c000071 ox14-c000121
ow14-s0167,ox14-c000260,2,ox14-c000197 ox14-c000260 ox14-c000037 ox14-c000012 ox14-c000058
ow14-s0168,ox14-c000215,4,ox14-c000270 ox14-c000374 ox14-c000354 ox14-c000215 ox14-c000245
ow14-s0169,ox14-c000106,3,ox14-c000087 ox14-c000033 ox14-c000106 ox14-c000075 ox14-c000127
ow14-s0170,ox14-c000420,3,ox14-c000406 ox14-c000297 ox14-c000420 ox14-c000277 ox14-c000352
ow14-s0171,ox14-c000302,4,ox14-c000060 ox14-c000183 ox14-c000113 ox14-c000302 ox14-c000357
ow14-s0172,ox14-c000013,1,ox14-c000013 ox14-c000398 ox14-c000381 ox14-c000103 ox14-c000293
ow14-s0173,ox14-c000142,1,ox14-c000142 ox14-c000373 ox14-c000093 ox14-c000422 ox14-c000107
ow14-s0174,ox14-c000128,5,ox14-c000337 ox14-c000053 ox14-c000350 ox14-c000427 ox14-c000128
ow14-s0175,ox14-c000011,3,ox14-c000344 ox14-c000384 ox14-c000011 ox14-c000016 ox14-c000216
ow14-s0176,ox14-c000313,1,ox14-c000313 ox14-c000220 ox14-c000268 ox14-c000207 ox14-c000177
ow14-s0177,ox14-c000076,5,ox14-c000434 ox14-c000061 ox14-c000026 ox14-c000314 ox14-c000076
ow14-s0178,ox14-c000361,4,ox14-c000034 ox14-c000273 ox14-c000219 ox14-c000361 ox14-c000109
ow14-s0179,ox14-c000172,3,ox14-c000303 ox14-c000405 ox14-c000172 ox14-c000363 ox14-c000101
ow14-s0180,ox14-c000407,3,ox14-c000064 ox14-c000100 ox14-c000407 ox14-c000111 ox14-c000226
ow14-s0181,ox14-c000298,4,ox14-c000141 ox14-c000387 ox14-c000048 ox14-c000298 ox14-c000212
ow14-s0182,ox14-c000178,2,ox14-c000251 ox14-c000178 ox14-c000399 ox14-c000082 ox14-c000423
ow14-s0183,ox14-c000115,5,ox14-c000077 ox14-c000296 ox14-c000410 ox14-c000085 ox14-c000115
ow14-s0184,ox14-c000005,5,ox14-c000353 ox14-c000118 ox14-c000395 ox14-c000223 ox14-c000005
ow14-s0185,ox14-c000015,3,ox14-c000307 ox14-c000188 ox14-c000015 ox14-c000315 ox14-c000311
ow14-s0186,ox14-c000182,5,ox14-c000167 ox14-c000351 ox14-c000161 ox14-c000404 ox14-c000182
ow14-s0187,ox14-c000038,4,ox14-c000117 ox14-c000029 ox14-c000272 ox14-c000038 ox14-c000429
ow14-s0188,ox14-c000059,2,ox14-c000185 ox14-c000059 ox14-c000136 ox14-c000346 ox14-c000377
ow14-s0189,ox14-c000191,3,ox14-c000198 ox14-c000070 ox14-c000191 ox14-c000396 ox14-c000247
ow14-s0190,ox14-c000014,2,ox14-c000099 ox14-c000014 ox14-c000056 ox14-c000023 ox14-c000102
ow14-s0191,ox14-c000024,4,ox14-c000189 ox14-c000348 ox14-c000236 ox14-c000024 ox14-c000030
ow14-s0192,ox14-c000088,4,ox14-c000083 ox14-c000426 ox14-c000341 ox14-c000088 ox14-c000209
ow14-s0193,ox14-c000371,2,ox14-c000184 ox14-c000371 ox14-c000333 ox14-c000259 ox14-c000254
ow14-s0194,ox14-c000195,4,ox14-c000278 ox14-c000229 ox14-c000355 ox14-c000195 ox14-c000031
ow14-s0195,ox14-c000274,5,ox14-c000294 ox14-c000065 ox14-c000125 ox14-c000204 ox14-c000274
ow14-s0196,ox14-c000316,5,ox14-c000044 ox14-c000066 ox14-c000164 ox14-c000409 ox14-c000316
ow14-s0197,ox14-c000317,2,ox14-c000432 ox14-c000317 ox14-c000261 ox14-c000208 ox14-c000112
ow14-s0198,ox14-c000126,2,ox14-c000362 ox14-c000126 ox14-c000310 ox14-c000224 ox14-c000414
ow14-s0199,ox14-c000253,5,ox14-c000391 ox14-c000402 ox14-c000210 ox14-c000036 ox14-c000253
ow14-s0200,ox14-c000062,2,ox14-c000067 ox14-c000062 ox14-c000225 ox14-c000320 ox14-c000252
ow14-s0201,ox14-c000235,2,ox14-c000090 ox14-c000235 ox14-c000140 ox14-c000165 ox14-c000369
ow14-s0202,ox14-c000258,3,ox14-c000389 ox14-c000265 ox14-c000258 ox14-c000081 ox14-c000072
ow14-s0203,ox14-c000130,3,ox14-c000211 ox14-c000046 ox14-c000130 ox14-c000246 ox14-c000323
ow14-s0204,ox14-c000419,2,ox14-c000181 ox14-c000419 ox14-c000121 ox14-c000108 ox14-c000025
ow14-s0205,ox14-c000365,1,ox14-c000365 ox14-c000037 ox14-c000197 ox14-c000012 ox14-c000058
ow14-s0206,ox14-c000001,3,ox14-c000270 ox14-c000374 ox14-c000001 ox14-c000245 ox14-c000354
ow14-s0207,ox14-c000008,5,ox14-c000075 ox14-c000127 ox14-c000033 ox14-c000087 ox14-c000008
ow14-s0208,ox14-c000233,4,ox14-c000352 ox14-c000297 ox14-c000406 ox14-c000233 ox14-c000277
ow14-s0209,ox14-c000035,1,ox14-c000035 ox14-c000357 ox14-c000113 ox14-c000183 ox14-c000060
ow14-s0210,ox14-c000263,1,ox14-c000263 ox14-c000398 ox14-c000103 ox14-c000381 ox14-c000293
ow14-s0211,ox14-c000162,3,ox14-c000373 ox14-c000107 ox14-c000162 ox14-c000422 ox14-c000093
ow14-s0212,ox14-c000041,4,ox14-c000337 ox14-c000053 ox14-c000350 ox14-c000041 ox14-c000427
ow14-s0213,ox14-c000218,3,ox14-c000384 ox14-c000016 ox14-c000218 ox14-c000344 ox14-c000216
ow14-s0214,ox14-c000308,5,ox14-c000220 ox14-c000268 ox14-c000207 ox14-c000177 ox14-c000308
ow14-s0215,ox14-c000138,2,ox14-c000026 ox14-c000138 ox14-c000314 ox14-c000434 ox14-c000061
ow14-s0216,ox14-c000009,4,ox14-c000109 ox14-c000273 ox14-c000219 ox14-c000009 ox14-c000034
ow14-s0217,ox14-c000051,3,ox14-c000303 ox14-c000101 ox14-c000051 ox14-c000363 ox14-c000405
ow14-s0218,ox14-c000379,1,ox14-c000379 ox14-c000226 ox14-c000100 ox14-c000064 ox14-c000111
ow14-s0219,ox14-c000250,4,ox14-c000212 ox14-c000387 ox14-c000048 ox14-c000250 ox14-c000141
ow14-s0220,ox14-c000431,2,ox14-c000251 ox14-c000431 ox14-c000399 ox14-c000423 ox14-c000082
ow14-s0221,ox14-c000299,2,ox14-c000085 ox14-c000299 ox14-c000077 ox14-c000410 ox14-c000296
ow14-s0222,ox14-c000424,2,ox14-c000223 ox14-c000424 ox14-c000395 ox14-c000118 ox14-c000353
ow14-s0223,ox14-c000390,3,ox14-c000315 ox14-c000307 ox14-c000390 ox14-c000188 ox14-c000311
ow14-s0224,ox14-c000295,4,ox14-c000161 ox14-c000351 ox14-c000167 ox14-c000295 ox14-c000404
ow14-s0225,ox14-c000105,4,ox14-c000117 ox14-c000272 ox14-c000029 ox14-c000105 ox14-c000429
ow14-s0226,ox14-c000203,4,ox14-c000136 ox14-c000377 ox14-c000185 ox14-c000203 ox14-c000346
ow14-s0227,ox14-c000401,2,ox14-c000396 ox14-c000401 ox14-c000198 ox14-c000070 ox14-c000247
ow14-s0228,ox14-c000392,2,ox14-c000099 ox14-c000392 ox14-c000102 ox14-c000056 ox14-c000023
ow14-s0229,ox14-c000123,3,ox14-c000030 ox14-c000348 ox14-c000123 ox14-c000189 ox14-c000236
ow14-s0230,ox14-c000249,4,ox14-c000083 ox14-c000209 ox14-c000341 ox14-c000249 ox14-c000426
ow14-s0231,ox14-c000238,3,ox14-c000254 ox14-c000333 ox14-c000238 ox14-c000259 ox14-c000184
ow14-s0232,ox14-c000331,5,ox14-c000031 ox14-c000229 ox14-c000355 ox14-c000278 ox14-c000331
ow14-s0233,ox14-c000078,3,ox14-c000204 ox14-c000125 ox14-c000078 ox14-c000294 ox14-c000065
ow14-s0234,ox14-c000239,3,ox14-c000409 ox14-c000044 ox14-c000239 ox14-c000066 ox14-c000164
ow14-s0235,ox14-c000376,1,ox14-c000376 ox14-c000261 ox14-c000208 ox14-c000432 ox14-c000112
ow14-s0236,ox14-c000330,1,ox14-c000330 ox14-c000310 ox14-c000414 ox14-c000224 ox14-c000362
