adapter_class,baseline_stable,candidate_id,expected_runtime_requests,finding_state,ground_truth_used_phase,request_count,schema_version,sequence,server_error_observed,status,true_false_difference_reproducible
multi_form,True,os15-c000253,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,101,False,completed,False
multi_form,True,os15-c000261,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,102,False,completed,False
multi_form,True,os15-c000262,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,103,False,completed,False
multi_form,True,os15-c000267,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,104,False,completed,True
multi_form,True,os15-c000272,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,105,False,completed,True
multi_form,True,os15-c000273,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,106,False,completed,True
form,True,os15-c000274,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,107,False,completed,True
multi_query,True,os15-c000282,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,108,False,completed,True
multi_form,True,os15-c000283,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,109,False,completed,True
multi_form,True,os15-c000284,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,110,False,completed,False
multi_query,True,os15-c000291,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,111,False,completed,True
multi_query,True,os15-c000292,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,112,False,completed,True
multi_query,True,os15-c000293,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,113,False,completed,False
multi_query,True,os15-c000295,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,114,False,completed,False
multi_query,True,os15-c000302,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,115,False,completed,True
multi_query,True,os15-c000304,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,116,False,completed,True
multi_query,True,os15-c000305,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,117,False,completed,False
multi_query,True,os15-c000306,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,118,False,completed,True
multi_query,True,os15-c000307,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,119,False,completed,True
multi_query,True,os15-c000308,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,120,False,completed,False
form,True,os15-c000311,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,121,False,completed,False
form,True,os15-c000312,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,122,False,completed,False
form,True,os15-c000321,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,123,False,completed,False
multi_query,True,os15-c000323,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,124,False,completed,False
multi_form,True,os15-c000324,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,125,False,completed,False
multi_form,True,os15-c000325,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,126,False,completed,False
cookie,True,os15-c000329,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,127,False,completed,False
cookie,True,os15-c000330,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,128,False,completed,False
cookie,True,os15-c000331,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,129,False,completed,False
cookie,True,os15-c000334,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,130,False,completed,False
cookie,True,os15-c000336,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,131,False,completed,False
cookie,True,os15-c000337,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,132,False,completed,False
header,True,os15-c000343,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,133,False,completed,False
header,True,os15-c000351,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,134,False,completed,False
header,True,os15-c000352,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,135,False,completed,True
header,True,os15-c000353,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,136,False,completed,True
header,True,os15-c000354,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,137,False,completed,True
header,True,os15-c000356,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,138,False,completed,True
header,True,os15-c000357,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,139,False,completed,True
header,True,os15-c000358,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,140,False,completed,False
header,True,os15-c000361,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,141,False,completed,True
header,True,os15-c000362,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,142,False,completed,False
header,True,os15-c000363,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,143,False,completed,True
header,True,os15-c000364,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,144,False,completed,False
header,True,os15-c000365,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,145,False,completed,True
header,True,os15-c000366,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,146,False,completed,False
header,True,os15-c000367,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,147,False,completed,False
form,True,os15-c000371,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,148,False,completed,True
form,True,os15-c000372,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,149,False,completed,False
multi_query,True,os15-c000373,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,150,False,completed,False
multi_form,True,os15-c000384,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,151,False,completed,False
form,True,os15-c000386,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,152,False,completed,True
form,True,os15-c000387,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,153,False,completed,True
multi_query,True,os15-c000388,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,154,False,completed,False
form,True,os15-c000392,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,155,False,completed,False
multi_form,True,os15-c000394,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,156,False,completed,True
multi_form,True,os15-c000395,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,157,False,completed,True
form,True,os15-c000396,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,158,False,completed,False
multi_query,True,os15-c000408,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,159,False,completed,False
multi_form,True,os15-c000409,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,160,False,completed,True
multi_form,True,os15-c000410,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,161,False,completed,False
multi_form,True,os15-c000414,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,162,False,completed,False
multi_form,True,os15-c000415,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,163,False,completed,False
multi_form,True,os15-c000423,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,164,False,completed,False
multi_form,True,os15-c000425,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,165,False,completed,False
multi_form,True,os15-c000426,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,166,False,completed,False
multi_form,True,os15-c000427,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,167,False,completed,False
multi_form,True,os15-c000428,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,168,False,completed,False
form,True,os15-c000432,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,169,False,completed,False
multi_form,True,os15-c000436,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,170,False,completed,True
multi_query,True,os15-c000443,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,171,False,completed,True
multi_form,True,os15-c000444,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,172,False,completed,True
multi_form,True,os15-c000445,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,173,False,completed,True
form,True,os15-c000446,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,174,False,completed,True
multi_form,True,os15-c000450,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,175,False,completed,False
form,True,os15-c000452,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,176,False,completed,False
multi_query,True,os15-c000453,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,177,False,completed,True
multi_form,True,os15-c000454,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,178,False,completed,True
multi_form,True,os15-c000455,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,179,False,completed,False
multi_query,True,os15-c000464,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,180,False,completed,False
multi_query,True,os15-c000465,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,181,False,completed,True
multi_query,True,os15-c000466,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,182,False,completed,False
multi_query,True,os15-c000468,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,183,False,completed,True
multi_query,True,os15-c000469,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,184,False,completed,False
multi_query,True,os15-c000470,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,185,False,completed,False
multi_query,True,os15-c000477,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,186,False,completed,True
multi_query,True,os15-c000478,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,187,False,completed,True
multi_query,True,os15-c000480,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,188,False,completed,True
multi_query,True,os15-c000481,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,189,False,completed,False
multi_query,True,os15-c000482,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,190,False,completed,True
multi_query,True,os15-c000483,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,191,False,completed,True
multi_query,True,os15-c000484,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,192,False,completed,True
multi_query,True,os15-c000485,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,193,False,completed,False
multi_query,True,os15-c000486,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,194,False,completed,True
multi_query,True,os15-c000491,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,195,False,completed,False
multi_form,True,os15-c000492,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,196,False,completed,False
multi_form,True,os15-c000493,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,197,False,completed,False
multi_query,True,os15-c000501,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,198,False,completed,False
multi_form,True,os15-c000502,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,199,False,completed,False
multi_form,True,os15-c000503,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,200,False,completed,False
