candidate_id,adapter_class,input_carrier,evaluation_role
os15-c000084,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000085,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000086,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000087,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000092,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000093,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000094,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000095,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000096,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000103,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000105,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000109,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000110,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000111,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000112,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000116,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000117,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000122,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000129,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000130,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000131,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000135,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000136,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000142,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000145,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000146,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000147,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000150,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000151,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000152,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000153,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000154,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000162,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000163,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000171,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000174,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000178,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000179,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000181,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000183,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000184,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000190,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000191,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000192,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000193,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000194,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000195,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000200,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000201,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000202,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000203,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000207,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000209,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000210,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000216,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000217,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000218,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000219,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000220,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000223,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000224,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000225,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000232,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000233,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000234,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000235,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000236,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000242,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000243,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000253,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000261,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000262,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000267,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000272,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000273,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000274,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000282,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000283,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000284,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000291,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000292,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000293,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000295,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000302,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000304,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000305,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000306,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000307,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000308,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000311,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000312,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000321,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000323,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000324,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000325,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000329,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000330,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000331,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000334,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000336,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000337,cookie,cookie,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000343,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000351,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000352,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000353,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000354,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000356,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000357,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000358,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000361,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000362,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000363,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000364,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000365,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000366,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000367,header,header,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000371,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000372,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000373,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000384,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000386,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000387,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000388,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000392,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000394,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000395,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000396,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000408,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000409,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000410,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000414,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000415,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000423,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000425,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000426,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000427,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000428,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000432,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000436,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000443,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000444,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000445,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000446,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000450,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000452,form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000453,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000454,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000455,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000464,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000465,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000466,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000468,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000469,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000470,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000477,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000478,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000480,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000481,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000482,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000483,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000484,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000485,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000486,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000491,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000492,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000493,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000501,multi_query,query_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000502,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
os15-c000503,multi_form,form_parameter,FINAL_CONFIRMATORY_ELIGIBLE
