all_five_candidates_tied_pre_tiebreak,candidate_count,distinct_pre_tiebreak_scores,final_order_partly_determined_by_stable_tiebreak,final_order_wholly_determined_by_stable_tiebreak,largest_tie_group_size,ordered_candidate_ids,scenario_id,scenario_type,score_by_candidate,score_equivalence_pattern,score_vector_in_final_order,score_vector_pattern,vulnerable_alignment_bucket,vulnerable_candidate_rank,vulnerable_distractors_sharing_score,vulnerable_has_unique_pre_tiebreak_score,vulnerable_in_best_score_class,vulnerable_in_worst_score_class,vulnerable_pre_tiebreak_score,vulnerable_score_class_rank,vulnerable_tied_with_all_distractors
False,5,2,True,False,3,"[""ox14-c000068"", ""ox14-c000108"", ""ox14-c000121"", ""ox14-c000025"", ""ox14-c000181""]",ow14-s0014,positive,"{""ox14-c000025"": 117, ""ox14-c000068"": 132, ""ox14-c000108"": 132, ""ox14-c000121"": 132, ""ox14-c000181"": 117}",3-2,"[132, 132, 132, 117, 117]",132>132>132>117>117,tied_for_highest,1,2,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000058"", ""ox14-c000197"", ""ox14-c000415"", ""ox14-c000012"", ""ox14-c000037""]",ow14-s0015,positive,"{""ox14-c000012"": 117, ""ox14-c000037"": 117, ""ox14-c000058"": 132, ""ox14-c000197"": 132, ""ox14-c000415"": 132}",3-2,"[132, 132, 132, 117, 117]",132>132>132>117>117,tied_for_highest,3,2,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000110"", ""ox14-c000245"", ""ox14-c000270"", ""ox14-c000354"", ""ox14-c000374""]",ow14-s0016,positive,"{""ox14-c000110"": 132, ""ox14-c000245"": 132, ""ox14-c000270"": 132, ""ox14-c000354"": 132, ""ox14-c000374"": 127}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,tied_for_highest,1,3,False,True,False,132,1,False
False,5,3,True,False,3,"[""ox14-c000075"", ""ox14-c000127"", ""ox14-c000322"", ""ox14-c000087"", ""ox14-c000033""]",ow14-s0017,positive,"{""ox14-c000033"": 117, ""ox14-c000075"": 132, ""ox14-c000087"": 127, ""ox14-c000127"": 132, ""ox14-c000322"": 132}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,tied_for_highest,3,2,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000262"", ""ox14-c000277"", ""ox14-c000352"", ""ox14-c000406"", ""ox14-c000297""]",ow14-s0018,positive,"{""ox14-c000262"": 132, ""ox14-c000277"": 132, ""ox14-c000297"": 117, ""ox14-c000352"": 132, ""ox14-c000406"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,1,3,False,True,False,132,1,False
False,5,3,True,False,3,"[""ox14-c000060"", ""ox14-c000113"", ""ox14-c000193"", ""ox14-c000357"", ""ox14-c000183""]",ow14-s0019,positive,"{""ox14-c000060"": 132, ""ox14-c000113"": 132, ""ox14-c000183"": 117, ""ox14-c000193"": 132, ""ox14-c000357"": 127}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,tied_for_highest,3,2,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000097"", ""ox14-c000103"", ""ox14-c000381"", ""ox14-c000398"", ""ox14-c000293""]",ow14-s0020,positive,"{""ox14-c000097"": 132, ""ox14-c000103"": 132, ""ox14-c000293"": 117, ""ox14-c000381"": 132, ""ox14-c000398"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,1,3,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000107"", ""ox14-c000400"", ""ox14-c000422"", ""ox14-c000093"", ""ox14-c000373""]",ow14-s0021,positive,"{""ox14-c000093"": 127, ""ox14-c000107"": 132, ""ox14-c000373"": 127, ""ox14-c000400"": 132, ""ox14-c000422"": 132}",3-2,"[132, 132, 132, 127, 127]",132>132>132>127>127,tied_for_highest,2,2,False,True,False,132,1,False
True,5,1,True,True,5,"[""ox14-c000053"", ""ox14-c000237"", ""ox14-c000337"", ""ox14-c000350"", ""ox14-c000427""]",ow14-s0022,positive,"{""ox14-c000053"": 132, ""ox14-c000237"": 132, ""ox14-c000337"": 132, ""ox14-c000350"": 132, ""ox14-c000427"": 132}",5,"[132, 132, 132, 132, 132]",132>132>132>132>132,all_candidates_tied_for_highest_and_lowest,2,4,False,True,True,132,1,True
False,5,2,True,False,4,"[""ox14-c000122"", ""ox14-c000216"", ""ox14-c000344"", ""ox14-c000384"", ""ox14-c000016""]",ow14-s0023,positive,"{""ox14-c000016"": 117, ""ox14-c000122"": 132, ""ox14-c000216"": 132, ""ox14-c000344"": 132, ""ox14-c000384"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,1,3,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000207"", ""ox14-c000220"", ""ox14-c000268"", ""ox14-c000356"", ""ox14-c000177""]",ow14-s0024,positive,"{""ox14-c000177"": 117, ""ox14-c000207"": 132, ""ox14-c000220"": 132, ""ox14-c000268"": 132, ""ox14-c000356"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,4,3,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000061"", ""ox14-c000434"", ""ox14-c000026"", ""ox14-c000309"", ""ox14-c000314""]",ow14-s0025,positive,"{""ox14-c000026"": 117, ""ox14-c000061"": 132, ""ox14-c000309"": 117, ""ox14-c000314"": 117, ""ox14-c000434"": 132}",3-2,"[132, 132, 117, 117, 117]",132>132>117>117>117,tied_for_lowest,4,2,False,False,True,117,2,False
False,5,2,True,False,4,"[""ox14-c000109"", ""ox14-c000219"", ""ox14-c000242"", ""ox14-c000273"", ""ox14-c000034""]",ow14-s0026,positive,"{""ox14-c000034"": 117, ""ox14-c000109"": 132, ""ox14-c000219"": 132, ""ox14-c000242"": 132, ""ox14-c000273"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,3,3,False,True,False,132,1,False
False,5,3,True,False,3,"[""ox14-c000101"", ""ox14-c000241"", ""ox14-c000405"", ""ox14-c000363"", ""ox14-c000303""]",ow14-s0027,positive,"{""ox14-c000101"": 132, ""ox14-c000241"": 132, ""ox14-c000303"": 117, ""ox14-c000363"": 127, ""ox14-c000405"": 132}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,tied_for_highest,2,2,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000064"", ""ox14-c000100"", ""ox14-c000111"", ""ox14-c000091"", ""ox14-c000226""]",ow14-s0028,positive,"{""ox14-c000064"": 132, ""ox14-c000091"": 127, ""ox14-c000100"": 132, ""ox14-c000111"": 132, ""ox14-c000226"": 127}",3-2,"[132, 132, 132, 127, 127]",132>132>132>127>127,tied_for_lowest,4,1,False,False,True,127,2,False
True,5,1,True,True,5,"[""ox14-c000048"", ""ox14-c000057"", ""ox14-c000141"", ""ox14-c000212"", ""ox14-c000387""]",ow14-s0029,positive,"{""ox14-c000048"": 132, ""ox14-c000057"": 132, ""ox14-c000141"": 132, ""ox14-c000212"": 132, ""ox14-c000387"": 132}",5,"[132, 132, 132, 132, 132]",132>132>132>132>132,all_candidates_tied_for_highest_and_lowest,2,4,False,True,True,132,1,True
False,5,2,True,False,4,"[""ox14-c000049"", ""ox14-c000251"", ""ox14-c000399"", ""ox14-c000423"", ""ox14-c000082""]",ow14-s0030,positive,"{""ox14-c000049"": 132, ""ox14-c000082"": 127, ""ox14-c000251"": 132, ""ox14-c000399"": 132, ""ox14-c000423"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,tied_for_highest,1,3,False,True,False,132,1,False
False,5,3,True,False,3,"[""ox14-c000069"", ""ox14-c000077"", ""ox14-c000410"", ""ox14-c000085"", ""ox14-c000296""]",ow14-s0031,positive,"{""ox14-c000069"": 132, ""ox14-c000077"": 132, ""ox14-c000085"": 127, ""ox14-c000296"": 117, ""ox14-c000410"": 132}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,tied_for_highest,1,2,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000118"", ""ox14-c000132"", ""ox14-c000353"", ""ox14-c000395"", ""ox14-c000223""]",ow14-s0032,positive,"{""ox14-c000118"": 132, ""ox14-c000132"": 132, ""ox14-c000223"": 127, ""ox14-c000353"": 132, ""ox14-c000395"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,tied_for_highest,2,3,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000188"", ""ox14-c000394"", ""ox14-c000307"", ""ox14-c000311"", ""ox14-c000315""]",ow14-s0033,positive,"{""ox14-c000188"": 132, ""ox14-c000307"": 117, ""ox14-c000311"": 117, ""ox14-c000315"": 117, ""ox14-c000394"": 132}",3-2,"[132, 132, 117, 117, 117]",132>132>117>117>117,tied_for_highest,2,1,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000351"", ""ox14-c000404"", ""ox14-c000027"", ""ox14-c000161"", ""ox14-c000167""]",ow14-s0034,positive,"{""ox14-c000027"": 117, ""ox14-c000161"": 117, ""ox14-c000167"": 117, ""ox14-c000351"": 132, ""ox14-c000404"": 132}",3-2,"[132, 132, 117, 117, 117]",132>132>117>117>117,tied_for_lowest,3,2,False,False,True,117,2,False
False,5,2,True,False,4,"[""ox14-c000117"", ""ox14-c000217"", ""ox14-c000272"", ""ox14-c000429"", ""ox14-c000029""]",ow14-s0035,positive,"{""ox14-c000029"": 117, ""ox14-c000117"": 132, ""ox14-c000217"": 132, ""ox14-c000272"": 132, ""ox14-c000429"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,2,3,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000136"", ""ox14-c000185"", ""ox14-c000346"", ""ox14-c000377"", ""ox14-c000089""]",ow14-s0036,positive,"{""ox14-c000089"": 127, ""ox14-c000136"": 132, ""ox14-c000185"": 132, ""ox14-c000346"": 132, ""ox14-c000377"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,strictly_lowest,5,0,True,False,True,127,2,False
True,5,1,True,True,5,"[""ox14-c000070"", ""ox14-c000190"", ""ox14-c000198"", ""ox14-c000247"", ""ox14-c000396""]",ow14-s0037,positive,"{""ox14-c000070"": 132, ""ox14-c000190"": 132, ""ox14-c000198"": 132, ""ox14-c000247"": 132, ""ox14-c000396"": 132}",5,"[132, 132, 132, 132, 132]",132>132>132>132>132,all_candidates_tied_for_highest_and_lowest,2,4,False,True,True,132,1,True
False,5,2,True,False,3,"[""ox14-c000056"", ""ox14-c000099"", ""ox14-c000102"", ""ox14-c000023"", ""ox14-c000171""]",ow14-s0038,positive,"{""ox14-c000023"": 117, ""ox14-c000056"": 132, ""ox14-c000099"": 132, ""ox14-c000102"": 132, ""ox14-c000171"": 117}",3-2,"[132, 132, 132, 117, 117]",132>132>132>117>117,tied_for_lowest,5,1,False,False,True,117,2,False
False,5,3,True,False,2,"[""ox14-c000189"", ""ox14-c000348"", ""ox14-c000236"", ""ox14-c000030"", ""ox14-c000305""]",ow14-s0039,positive,"{""ox14-c000030"": 117, ""ox14-c000189"": 132, ""ox14-c000236"": 127, ""ox14-c000305"": 117, ""ox14-c000348"": 132}",2-2-1,"[132, 132, 127, 117, 117]",132>132>127>117>117,tied_for_lowest,5,1,False,False,True,117,3,False
False,5,2,True,False,4,"[""ox14-c000209"", ""ox14-c000324"", ""ox14-c000341"", ""ox14-c000426"", ""ox14-c000083""]",ow14-s0040,positive,"{""ox14-c000083"": 127, ""ox14-c000209"": 132, ""ox14-c000324"": 132, ""ox14-c000341"": 132, ""ox14-c000426"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,tied_for_highest,2,3,False,True,False,132,1,False
True,5,1,True,True,5,"[""ox14-c000184"", ""ox14-c000254"", ""ox14-c000259"", ""ox14-c000327"", ""ox14-c000333""]",ow14-s0041,positive,"{""ox14-c000184"": 132, ""ox14-c000254"": 132, ""ox14-c000259"": 132, ""ox14-c000327"": 132, ""ox14-c000333"": 132}",5,"[132, 132, 132, 132, 132]",132>132>132>132>132,all_candidates_tied_for_highest_and_lowest,4,4,False,True,True,132,1,True
False,5,3,True,False,3,"[""ox14-c000278"", ""ox14-c000328"", ""ox14-c000355"", ""ox14-c000229"", ""ox14-c000031""]",ow14-s0042,positive,"{""ox14-c000031"": 117, ""ox14-c000229"": 127, ""ox14-c000278"": 132, ""ox14-c000328"": 132, ""ox14-c000355"": 132}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,tied_for_highest,2,2,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000065"", ""ox14-c000125"", ""ox14-c000200"", ""ox14-c000204"", ""ox14-c000294""]",ow14-s0043,positive,"{""ox14-c000065"": 132, ""ox14-c000125"": 132, ""ox14-c000200"": 132, ""ox14-c000204"": 132, ""ox14-c000294"": 117}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,3,3,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000044"", ""ox14-c000066"", ""ox14-c000397"", ""ox14-c000409"", ""ox14-c000164""]",ow14-s0044,positive,"{""ox14-c000044"": 132, ""ox14-c000066"": 132, ""ox14-c000164"": 117, ""ox14-c000397"": 132, ""ox14-c000409"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,3,3,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000112"", ""ox14-c000208"", ""ox14-c000261"", ""ox14-c000432"", ""ox14-c000174""]",ow14-s0045,positive,"{""ox14-c000112"": 132, ""ox14-c000174"": 117, ""ox14-c000208"": 132, ""ox14-c000261"": 132, ""ox14-c000432"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,strictly_lowest,5,0,True,False,True,117,2,False
False,5,3,True,False,2,"[""ox14-c000408"", ""ox14-c000414"", ""ox14-c000224"", ""ox14-c000362"", ""ox14-c000310""]",ow14-s0046,positive,"{""ox14-c000224"": 127, ""ox14-c000310"": 117, ""ox14-c000362"": 127, ""ox14-c000408"": 132, ""ox14-c000414"": 132}",2-2-1,"[132, 132, 127, 127, 117]",132>132>127>127>117,tied_for_highest,1,1,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000134"", ""ox14-c000210"", ""ox14-c000391"", ""ox14-c000402"", ""ox14-c000036""]",ow14-s0047,positive,"{""ox14-c000036"": 117, ""ox14-c000134"": 132, ""ox14-c000210"": 132, ""ox14-c000391"": 132, ""ox14-c000402"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,1,3,False,True,False,132,1,False
False,5,3,True,False,3,"[""ox14-c000067"", ""ox14-c000252"", ""ox14-c000320"", ""ox14-c000225"", ""ox14-c000032""]",ow14-s0048,positive,"{""ox14-c000032"": 117, ""ox14-c000067"": 132, ""ox14-c000225"": 127, ""ox14-c000252"": 132, ""ox14-c000320"": 132}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,strictly_lowest,5,0,True,False,True,117,3,False
False,5,3,True,False,2,"[""ox14-c000140"", ""ox14-c000186"", ""ox14-c000090"", ""ox14-c000369"", ""ox14-c000165""]",ow14-s0049,positive,"{""ox14-c000090"": 127, ""ox14-c000140"": 132, ""ox14-c000165"": 117, ""ox14-c000186"": 132, ""ox14-c000369"": 127}",2-2-1,"[132, 132, 127, 127, 117]",132>132>127>127>117,tied_for_highest,2,1,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000072"", ""ox14-c000265"", ""ox14-c000389"", ""ox14-c000081"", ""ox14-c000368""]",ow14-s0050,positive,"{""ox14-c000072"": 132, ""ox14-c000081"": 127, ""ox14-c000265"": 132, ""ox14-c000368"": 127, ""ox14-c000389"": 132}",3-2,"[132, 132, 132, 127, 127]",132>132>132>127>127,tied_for_lowest,5,1,False,False,True,127,2,False
False,5,2,True,False,4,"[""ox14-c000046"", ""ox14-c000211"", ""ox14-c000246"", ""ox14-c000323"", ""ox14-c000234""]",ow14-s0051,positive,"{""ox14-c000046"": 132, ""ox14-c000211"": 132, ""ox14-c000234"": 127, ""ox14-c000246"": 132, ""ox14-c000323"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,strictly_lowest,5,0,True,False,True,127,2,False
False,5,3,True,False,2,"[""ox14-c000108"", ""ox14-c000121"", ""ox14-c000231"", ""ox14-c000025"", ""ox14-c000181""]",ow14-s0052,positive,"{""ox14-c000025"": 117, ""ox14-c000108"": 132, ""ox14-c000121"": 132, ""ox14-c000181"": 117, ""ox14-c000231"": 127}",2-2-1,"[132, 132, 127, 117, 117]",132>132>127>117>117,neither_highest_nor_lowest_middle,3,0,True,False,False,127,2,False
False,5,2,True,False,3,"[""ox14-c000042"", ""ox14-c000058"", ""ox14-c000197"", ""ox14-c000012"", ""ox14-c000037""]",ow14-s0053,positive,"{""ox14-c000012"": 117, ""ox14-c000037"": 117, ""ox14-c000042"": 132, ""ox14-c000058"": 132, ""ox14-c000197"": 132}",3-2,"[132, 132, 132, 117, 117]",132>132>132>117>117,tied_for_highest,1,2,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000245"", ""ox14-c000270"", ""ox14-c000354"", ""ox14-c000086"", ""ox14-c000374""]",ow14-s0054,positive,"{""ox14-c000086"": 127, ""ox14-c000245"": 132, ""ox14-c000270"": 132, ""ox14-c000354"": 132, ""ox14-c000374"": 127}",3-2,"[132, 132, 132, 127, 127]",132>132>132>127>127,tied_for_lowest,4,1,False,False,True,127,2,False
False,5,3,True,False,2,"[""ox14-c000075"", ""ox14-c000127"", ""ox14-c000087"", ""ox14-c000228"", ""ox14-c000033""]",ow14-s0055,positive,"{""ox14-c000033"": 117, ""ox14-c000075"": 132, ""ox14-c000087"": 127, ""ox14-c000127"": 132, ""ox14-c000228"": 127}",2-2-1,"[132, 132, 127, 127, 117]",132>132>127>127>117,tied_in_middle_score_class,4,1,False,False,False,127,2,False
False,5,2,True,False,4,"[""ox14-c000277"", ""ox14-c000352"", ""ox14-c000406"", ""ox14-c000412"", ""ox14-c000297""]",ow14-s0056,positive,"{""ox14-c000277"": 132, ""ox14-c000297"": 117, ""ox14-c000352"": 132, ""ox14-c000406"": 132, ""ox14-c000412"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,4,3,False,True,False,132,1,False
False,5,3,True,False,2,"[""ox14-c000060"", ""ox14-c000113"", ""ox14-c000092"", ""ox14-c000357"", ""ox14-c000183""]",ow14-s0057,positive,"{""ox14-c000060"": 132, ""ox14-c000092"": 127, ""ox14-c000113"": 132, ""ox14-c000183"": 117, ""ox14-c000357"": 127}",2-2-1,"[132, 132, 127, 127, 117]",132>132>127>127>117,tied_in_middle_score_class,3,1,False,False,False,127,2,False
False,5,2,True,False,4,"[""ox14-c000103"", ""ox14-c000381"", ""ox14-c000398"", ""ox14-c000425"", ""ox14-c000293""]",ow14-s0058,positive,"{""ox14-c000103"": 132, ""ox14-c000293"": 117, ""ox14-c000381"": 132, ""ox14-c000398"": 132, ""ox14-c000425"": 132}",4-1,"[132, 132, 132, 132, 117]",132>132>132>132>117,tied_for_highest,4,3,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000107"", ""ox14-c000129"", ""ox14-c000422"", ""ox14-c000093"", ""ox14-c000373""]",ow14-s0059,positive,"{""ox14-c000093"": 127, ""ox14-c000107"": 132, ""ox14-c000129"": 132, ""ox14-c000373"": 127, ""ox14-c000422"": 132}",3-2,"[132, 132, 132, 127, 127]",132>132>132>127>127,tied_for_highest,2,2,False,True,False,132,1,False
False,5,2,True,False,4,"[""ox14-c000053"", ""ox14-c000337"", ""ox14-c000350"", ""ox14-c000427"", ""ox14-c000084""]",ow14-s0060,positive,"{""ox14-c000053"": 132, ""ox14-c000084"": 127, ""ox14-c000337"": 132, ""ox14-c000350"": 132, ""ox14-c000427"": 132}",4-1,"[132, 132, 132, 132, 127]",132>132>132>132>127,strictly_lowest,5,0,True,False,True,127,2,False
False,5,2,True,False,3,"[""ox14-c000216"", ""ox14-c000344"", ""ox14-c000384"", ""ox14-c000002"", ""ox14-c000016""]",ow14-s0061,positive,"{""ox14-c000002"": 117, ""ox14-c000016"": 117, ""ox14-c000216"": 132, ""ox14-c000344"": 132, ""ox14-c000384"": 132}",3-2,"[132, 132, 132, 117, 117]",132>132>132>117>117,tied_for_lowest,4,1,False,False,True,117,2,False
False,5,3,True,False,3,"[""ox14-c000207"", ""ox14-c000220"", ""ox14-c000268"", ""ox14-c000079"", ""ox14-c000177""]",ow14-s0062,positive,"{""ox14-c000079"": 127, ""ox14-c000177"": 117, ""ox14-c000207"": 132, ""ox14-c000220"": 132, ""ox14-c000268"": 132}",3-1-1,"[132, 132, 132, 127, 117]",132>132>132>127>117,neither_highest_nor_lowest_middle,4,0,True,False,False,127,2,False
False,5,2,True,False,3,"[""ox14-c000061"", ""ox14-c000417"", ""ox14-c000434"", ""ox14-c000026"", ""ox14-c000314""]",ow14-s0063,positive,"{""ox14-c000026"": 117, ""ox14-c000061"": 132, ""ox14-c000314"": 117, ""ox14-c000417"": 132, ""ox14-c000434"": 132}",3-2,"[132, 132, 132, 117, 117]",132>132>132>117>117,tied_for_highest,2,2,False,True,False,132,1,False
False,5,2,True,False,3,"[""ox14-c000109"", ""ox14-c000219"", ""ox14-c000273"", ""ox14-c000019"", ""ox14-c000034""]",ow14-s0064,positive,"{""ox14-c000019"": 117, ""ox14-c000034"": 117, ""ox14-c000109"": 132, ""ox14-c000219"": 132, ""ox14-c000273"": 132}",3-2,"[132, 132, 132, 117, 117]",132>132>132>117>117,tied_for_lowest,4,1,False,False,True,117,2,False
