sequence,row_id,arm_id,representation_condition,scenario_id,trial_number,snapshot_path,candidate_test_budget,top_k,scored
18,ow14-1-r00018,deterministic_minimal,minimal,ow14-s0018,1,model-facing/minimal-candidate-snapshots/ow14-s0018.json,4,4,True
19,ow14-1-r00019,deterministic_minimal,minimal,ow14-s0019,1,model-facing/minimal-candidate-snapshots/ow14-s0019.json,4,4,True
20,ow14-1-r00020,deterministic_minimal,minimal,ow14-s0020,1,model-facing/minimal-candidate-snapshots/ow14-s0020.json,4,4,True
21,ow14-1-r00021,deterministic_minimal,minimal,ow14-s0021,1,model-facing/minimal-candidate-snapshots/ow14-s0021.json,4,4,True
22,ow14-1-r00022,deterministic_minimal,minimal,ow14-s0022,1,model-facing/minimal-candidate-snapshots/ow14-s0022.json,4,4,True
23,ow14-1-r00023,deterministic_minimal,minimal,ow14-s0023,1,model-facing/minimal-candidate-snapshots/ow14-s0023.json,4,4,True
24,ow14-1-r00024,deterministic_minimal,minimal,ow14-s0024,1,model-facing/minimal-candidate-snapshots/ow14-s0024.json,4,4,True
25,ow14-1-r00025,deterministic_minimal,minimal,ow14-s0025,1,model-facing/minimal-candidate-snapshots/ow14-s0025.json,4,4,True
26,ow14-1-r00026,deterministic_minimal,minimal,ow14-s0026,1,model-facing/minimal-candidate-snapshots/ow14-s0026.json,4,4,True
27,ow14-1-r00027,deterministic_minimal,minimal,ow14-s0027,1,model-facing/minimal-candidate-snapshots/ow14-s0027.json,4,4,True
28,ow14-1-r00028,deterministic_minimal,minimal,ow14-s0028,1,model-facing/minimal-candidate-snapshots/ow14-s0028.json,4,4,True
29,ow14-1-r00029,deterministic_minimal,minimal,ow14-s0029,1,model-facing/minimal-candidate-snapshots/ow14-s0029.json,4,4,True
30,ow14-1-r00030,deterministic_minimal,minimal,ow14-s0030,1,model-facing/minimal-candidate-snapshots/ow14-s0030.json,4,4,True
31,ow14-1-r00031,deterministic_minimal,minimal,ow14-s0031,1,model-facing/minimal-candidate-snapshots/ow14-s0031.json,4,4,True
32,ow14-1-r00032,deterministic_minimal,minimal,ow14-s0032,1,model-facing/minimal-candidate-snapshots/ow14-s0032.json,4,4,True
33,ow14-1-r00033,deterministic_minimal,minimal,ow14-s0033,1,model-facing/minimal-candidate-snapshots/ow14-s0033.json,4,4,True
34,ow14-1-r00034,deterministic_minimal,minimal,ow14-s0034,1,model-facing/minimal-candidate-snapshots/ow14-s0034.json,4,4,True
35,ow14-1-r00035,deterministic_minimal,minimal,ow14-s0035,1,model-facing/minimal-candidate-snapshots/ow14-s0035.json,4,4,True
36,ow14-1-r00036,deterministic_minimal,minimal,ow14-s0036,1,model-facing/minimal-candidate-snapshots/ow14-s0036.json,4,4,True
37,ow14-1-r00037,deterministic_minimal,minimal,ow14-s0037,1,model-facing/minimal-candidate-snapshots/ow14-s0037.json,4,4,True
38,ow14-1-r00038,deterministic_minimal,minimal,ow14-s0038,1,model-facing/minimal-candidate-snapshots/ow14-s0038.json,4,4,True
39,ow14-1-r00039,deterministic_minimal,minimal,ow14-s0039,1,model-facing/minimal-candidate-snapshots/ow14-s0039.json,4,4,True
40,ow14-1-r00040,deterministic_minimal,minimal,ow14-s0040,1,model-facing/minimal-candidate-snapshots/ow14-s0040.json,4,4,True
41,ow14-1-r00041,deterministic_minimal,minimal,ow14-s0041,1,model-facing/minimal-candidate-snapshots/ow14-s0041.json,4,4,True
42,ow14-1-r00042,deterministic_minimal,minimal,ow14-s0042,1,model-facing/minimal-candidate-snapshots/ow14-s0042.json,4,4,True
43,ow14-1-r00043,deterministic_minimal,minimal,ow14-s0043,1,model-facing/minimal-candidate-snapshots/ow14-s0043.json,4,4,True
44,ow14-1-r00044,deterministic_minimal,minimal,ow14-s0044,1,model-facing/minimal-candidate-snapshots/ow14-s0044.json,4,4,True
45,ow14-1-r00045,deterministic_minimal,minimal,ow14-s0045,1,model-facing/minimal-candidate-snapshots/ow14-s0045.json,4,4,True
46,ow14-1-r00046,deterministic_minimal,minimal,ow14-s0046,1,model-facing/minimal-candidate-snapshots/ow14-s0046.json,4,4,True
47,ow14-1-r00047,deterministic_minimal,minimal,ow14-s0047,1,model-facing/minimal-candidate-snapshots/ow14-s0047.json,4,4,True
48,ow14-1-r00048,deterministic_minimal,minimal,ow14-s0048,1,model-facing/minimal-candidate-snapshots/ow14-s0048.json,4,4,True
49,ow14-1-r00049,deterministic_minimal,minimal,ow14-s0049,1,model-facing/minimal-candidate-snapshots/ow14-s0049.json,4,4,True
50,ow14-1-r00050,deterministic_minimal,minimal,ow14-s0050,1,model-facing/minimal-candidate-snapshots/ow14-s0050.json,4,4,True
51,ow14-1-r00051,deterministic_minimal,minimal,ow14-s0051,1,model-facing/minimal-candidate-snapshots/ow14-s0051.json,4,4,True
52,ow14-1-r00052,deterministic_minimal,minimal,ow14-s0052,1,model-facing/minimal-candidate-snapshots/ow14-s0052.json,4,4,True
53,ow14-1-r00053,deterministic_minimal,minimal,ow14-s0053,1,model-facing/minimal-candidate-snapshots/ow14-s0053.json,4,4,True
54,ow14-1-r00054,deterministic_minimal,minimal,ow14-s0054,1,model-facing/minimal-candidate-snapshots/ow14-s0054.json,4,4,True
55,ow14-1-r00055,deterministic_minimal,minimal,ow14-s0055,1,model-facing/minimal-candidate-snapshots/ow14-s0055.json,4,4,True
56,ow14-1-r00056,deterministic_minimal,minimal,ow14-s0056,1,model-facing/minimal-candidate-snapshots/ow14-s0056.json,4,4,True
57,ow14-1-r00057,deterministic_minimal,minimal,ow14-s0057,1,model-facing/minimal-candidate-snapshots/ow14-s0057.json,4,4,True
58,ow14-1-r00058,deterministic_minimal,minimal,ow14-s0058,1,model-facing/minimal-candidate-snapshots/ow14-s0058.json,4,4,True
59,ow14-1-r00059,deterministic_minimal,minimal,ow14-s0059,1,model-facing/minimal-candidate-snapshots/ow14-s0059.json,4,4,True
60,ow14-1-r00060,deterministic_minimal,minimal,ow14-s0060,1,model-facing/minimal-candidate-snapshots/ow14-s0060.json,4,4,True
61,ow14-1-r00061,deterministic_minimal,minimal,ow14-s0061,1,model-facing/minimal-candidate-snapshots/ow14-s0061.json,4,4,True
62,ow14-1-r00062,deterministic_minimal,minimal,ow14-s0062,1,model-facing/minimal-candidate-snapshots/ow14-s0062.json,4,4,True
63,ow14-1-r00063,deterministic_minimal,minimal,ow14-s0063,1,model-facing/minimal-candidate-snapshots/ow14-s0063.json,4,4,True
64,ow14-1-r00064,deterministic_minimal,minimal,ow14-s0064,1,model-facing/minimal-candidate-snapshots/ow14-s0064.json,4,4,True
65,ow14-1-r00065,deterministic_minimal,minimal,ow14-s0065,1,model-facing/minimal-candidate-snapshots/ow14-s0065.json,4,4,True
66,ow14-1-r00066,deterministic_minimal,minimal,ow14-s0066,1,model-facing/minimal-candidate-snapshots/ow14-s0066.json,4,4,True
67,ow14-1-r00067,deterministic_minimal,minimal,ow14-s0067,1,model-facing/minimal-candidate-snapshots/ow14-s0067.json,4,4,True
68,ow14-1-r00068,deterministic_minimal,minimal,ow14-s0068,1,model-facing/minimal-candidate-snapshots/ow14-s0068.json,4,4,True
69,ow14-1-r00069,deterministic_minimal,minimal,ow14-s0069,1,model-facing/minimal-candidate-snapshots/ow14-s0069.json,4,4,True
70,ow14-1-r00070,deterministic_minimal,minimal,ow14-s0070,1,model-facing/minimal-candidate-snapshots/ow14-s0070.json,4,4,True
71,ow14-1-r00071,deterministic_minimal,minimal,ow14-s0071,1,model-facing/minimal-candidate-snapshots/ow14-s0071.json,4,4,True
72,ow14-1-r00072,deterministic_minimal,minimal,ow14-s0072,1,model-facing/minimal-candidate-snapshots/ow14-s0072.json,4,4,True
73,ow14-1-r00073,deterministic_minimal,minimal,ow14-s0073,1,model-facing/minimal-candidate-snapshots/ow14-s0073.json,4,4,True
74,ow14-1-r00074,deterministic_minimal,minimal,ow14-s0074,1,model-facing/minimal-candidate-snapshots/ow14-s0074.json,4,4,True
75,ow14-1-r00075,deterministic_minimal,minimal,ow14-s0075,1,model-facing/minimal-candidate-snapshots/ow14-s0075.json,4,4,True
76,ow14-1-r00076,deterministic_minimal,minimal,ow14-s0076,1,model-facing/minimal-candidate-snapshots/ow14-s0076.json,4,4,True
77,ow14-1-r00077,deterministic_minimal,minimal,ow14-s0077,1,model-facing/minimal-candidate-snapshots/ow14-s0077.json,4,4,True
78,ow14-1-r00078,deterministic_minimal,minimal,ow14-s0078,1,model-facing/minimal-candidate-snapshots/ow14-s0078.json,4,4,True
79,ow14-1-r00079,deterministic_minimal,minimal,ow14-s0079,1,model-facing/minimal-candidate-snapshots/ow14-s0079.json,4,4,True
80,ow14-1-r00080,deterministic_minimal,minimal,ow14-s0080,1,model-facing/minimal-candidate-snapshots/ow14-s0080.json,4,4,True
81,ow14-1-r00081,deterministic_minimal,minimal,ow14-s0081,1,model-facing/minimal-candidate-snapshots/ow14-s0081.json,4,4,True
82,ow14-1-r00082,deterministic_minimal,minimal,ow14-s0082,1,model-facing/minimal-candidate-snapshots/ow14-s0082.json,4,4,True
83,ow14-1-r00083,deterministic_minimal,minimal,ow14-s0083,1,model-facing/minimal-candidate-snapshots/ow14-s0083.json,4,4,True
84,ow14-1-r00084,deterministic_minimal,minimal,ow14-s0084,1,model-facing/minimal-candidate-snapshots/ow14-s0084.json,4,4,True
85,ow14-1-r00085,deterministic_minimal,minimal,ow14-s0085,1,model-facing/minimal-candidate-snapshots/ow14-s0085.json,4,4,True
86,ow14-1-r00086,deterministic_minimal,minimal,ow14-s0086,1,model-facing/minimal-candidate-snapshots/ow14-s0086.json,4,4,True
87,ow14-1-r00087,deterministic_minimal,minimal,ow14-s0087,1,model-facing/minimal-candidate-snapshots/ow14-s0087.json,4,4,True
88,ow14-1-r00088,deterministic_minimal,minimal,ow14-s0088,1,model-facing/minimal-candidate-snapshots/ow14-s0088.json,4,4,True
89,ow14-1-r00089,deterministic_minimal,minimal,ow14-s0089,1,model-facing/minimal-candidate-snapshots/ow14-s0089.json,4,4,True
90,ow14-1-r00090,deterministic_minimal,minimal,ow14-s0090,1,model-facing/minimal-candidate-snapshots/ow14-s0090.json,4,4,True
91,ow14-1-r00091,deterministic_minimal,minimal,ow14-s0091,1,model-facing/minimal-candidate-snapshots/ow14-s0091.json,4,4,True
92,ow14-1-r00092,deterministic_minimal,minimal,ow14-s0092,1,model-facing/minimal-candidate-snapshots/ow14-s0092.json,4,4,True
93,ow14-1-r00093,deterministic_minimal,minimal,ow14-s0093,1,model-facing/minimal-candidate-snapshots/ow14-s0093.json,4,4,True
94,ow14-1-r00094,deterministic_minimal,minimal,ow14-s0094,1,model-facing/minimal-candidate-snapshots/ow14-s0094.json,4,4,True
95,ow14-1-r00095,deterministic_minimal,minimal,ow14-s0095,1,model-facing/minimal-candidate-snapshots/ow14-s0095.json,4,4,True
96,ow14-1-r00096,deterministic_minimal,minimal,ow14-s0096,1,model-facing/minimal-candidate-snapshots/ow14-s0096.json,4,4,True
97,ow14-1-r00097,deterministic_minimal,minimal,ow14-s0097,1,model-facing/minimal-candidate-snapshots/ow14-s0097.json,4,4,True
98,ow14-1-r00098,deterministic_minimal,minimal,ow14-s0098,1,model-facing/minimal-candidate-snapshots/ow14-s0098.json,4,4,True
99,ow14-1-r00099,deterministic_minimal,minimal,ow14-s0099,1,model-facing/minimal-candidate-snapshots/ow14-s0099.json,4,4,True
100,ow14-1-r00100,deterministic_minimal,minimal,ow14-s0100,1,model-facing/minimal-candidate-snapshots/ow14-s0100.json,4,4,True
101,ow14-1-r00101,deterministic_minimal,minimal,ow14-s0101,1,model-facing/minimal-candidate-snapshots/ow14-s0101.json,4,4,True
102,ow14-1-r00102,deterministic_minimal,minimal,ow14-s0102,1,model-facing/minimal-candidate-snapshots/ow14-s0102.json,4,4,True
103,ow14-1-r00103,deterministic_minimal,minimal,ow14-s0103,1,model-facing/minimal-candidate-snapshots/ow14-s0103.json,4,4,True
104,ow14-1-r00104,deterministic_minimal,minimal,ow14-s0104,1,model-facing/minimal-candidate-snapshots/ow14-s0104.json,4,4,True
105,ow14-1-r00105,deterministic_minimal,minimal,ow14-s0105,1,model-facing/minimal-candidate-snapshots/ow14-s0105.json,4,4,True
106,ow14-1-r00106,deterministic_minimal,minimal,ow14-s0106,1,model-facing/minimal-candidate-snapshots/ow14-s0106.json,4,4,True
107,ow14-1-r00107,deterministic_minimal,minimal,ow14-s0107,1,model-facing/minimal-candidate-snapshots/ow14-s0107.json,4,4,True
108,ow14-1-r00108,deterministic_minimal,minimal,ow14-s0108,1,model-facing/minimal-candidate-snapshots/ow14-s0108.json,4,4,True
109,ow14-1-r00109,deterministic_minimal,minimal,ow14-s0109,1,model-facing/minimal-candidate-snapshots/ow14-s0109.json,4,4,True
110,ow14-1-r00110,deterministic_minimal,minimal,ow14-s0110,1,model-facing/minimal-candidate-snapshots/ow14-s0110.json,4,4,True
111,ow14-1-r00111,deterministic_minimal,minimal,ow14-s0111,1,model-facing/minimal-candidate-snapshots/ow14-s0111.json,4,4,True
112,ow14-1-r00112,deterministic_minimal,minimal,ow14-s0112,1,model-facing/minimal-candidate-snapshots/ow14-s0112.json,4,4,True
113,ow14-1-r00113,deterministic_minimal,minimal,ow14-s0113,1,model-facing/minimal-candidate-snapshots/ow14-s0113.json,4,4,True
114,ow14-1-r00114,deterministic_minimal,minimal,ow14-s0114,1,model-facing/minimal-candidate-snapshots/ow14-s0114.json,4,4,True
115,ow14-1-r00115,deterministic_minimal,minimal,ow14-s0115,1,model-facing/minimal-candidate-snapshots/ow14-s0115.json,4,4,True
116,ow14-1-r00116,deterministic_minimal,minimal,ow14-s0116,1,model-facing/minimal-candidate-snapshots/ow14-s0116.json,4,4,True
117,ow14-1-r00117,deterministic_minimal,minimal,ow14-s0117,1,model-facing/minimal-candidate-snapshots/ow14-s0117.json,4,4,True
118,ow14-1-r00118,deterministic_minimal,minimal,ow14-s0118,1,model-facing/minimal-candidate-snapshots/ow14-s0118.json,4,4,True
119,ow14-1-r00119,deterministic_minimal,minimal,ow14-s0119,1,model-facing/minimal-candidate-snapshots/ow14-s0119.json,4,4,True
120,ow14-1-r00120,deterministic_minimal,minimal,ow14-s0120,1,model-facing/minimal-candidate-snapshots/ow14-s0120.json,4,4,True
121,ow14-1-r00121,deterministic_minimal,minimal,ow14-s0121,1,model-facing/minimal-candidate-snapshots/ow14-s0121.json,4,4,True
122,ow14-1-r00122,deterministic_minimal,minimal,ow14-s0122,1,model-facing/minimal-candidate-snapshots/ow14-s0122.json,4,4,True
123,ow14-1-r00123,deterministic_minimal,minimal,ow14-s0123,1,model-facing/minimal-candidate-snapshots/ow14-s0123.json,4,4,True
124,ow14-1-r00124,deterministic_minimal,minimal,ow14-s0124,1,model-facing/minimal-candidate-snapshots/ow14-s0124.json,4,4,True
125,ow14-1-r00125,deterministic_minimal,minimal,ow14-s0125,1,model-facing/minimal-candidate-snapshots/ow14-s0125.json,4,4,True
126,ow14-1-r00126,deterministic_minimal,minimal,ow14-s0126,1,model-facing/minimal-candidate-snapshots/ow14-s0126.json,4,4,True
127,ow14-1-r00127,deterministic_minimal,minimal,ow14-s0127,1,model-facing/minimal-candidate-snapshots/ow14-s0127.json,4,4,True
128,ow14-1-r00128,deterministic_minimal,minimal,ow14-s0128,1,model-facing/minimal-candidate-snapshots/ow14-s0128.json,4,4,True
129,ow14-1-r00129,deterministic_minimal,minimal,ow14-s0129,1,model-facing/minimal-candidate-snapshots/ow14-s0129.json,4,4,True
130,ow14-1-r00130,deterministic_minimal,minimal,ow14-s0130,1,model-facing/minimal-candidate-snapshots/ow14-s0130.json,4,4,True
131,ow14-1-r00131,deterministic_minimal,minimal,ow14-s0131,1,model-facing/minimal-candidate-snapshots/ow14-s0131.json,4,4,True
132,ow14-1-r00132,deterministic_minimal,minimal,ow14-s0132,1,model-facing/minimal-candidate-snapshots/ow14-s0132.json,4,4,True
133,ow14-1-r00133,deterministic_minimal,minimal,ow14-s0133,1,model-facing/minimal-candidate-snapshots/ow14-s0133.json,4,4,True
134,ow14-1-r00134,deterministic_minimal,minimal,ow14-s0134,1,model-facing/minimal-candidate-snapshots/ow14-s0134.json,4,4,True
135,ow14-1-r00135,deterministic_minimal,minimal,ow14-s0135,1,model-facing/minimal-candidate-snapshots/ow14-s0135.json,4,4,True
136,ow14-1-r00136,deterministic_minimal,minimal,ow14-s0136,1,model-facing/minimal-candidate-snapshots/ow14-s0136.json,4,4,True
137,ow14-1-r00137,deterministic_minimal,minimal,ow14-s0137,1,model-facing/minimal-candidate-snapshots/ow14-s0137.json,4,4,True
138,ow14-1-r00138,deterministic_minimal,minimal,ow14-s0138,1,model-facing/minimal-candidate-snapshots/ow14-s0138.json,4,4,True
139,ow14-1-r00139,deterministic_minimal,minimal,ow14-s0139,1,model-facing/minimal-candidate-snapshots/ow14-s0139.json,4,4,True
140,ow14-1-r00140,deterministic_minimal,minimal,ow14-s0140,1,model-facing/minimal-candidate-snapshots/ow14-s0140.json,4,4,True
141,ow14-1-r00141,deterministic_minimal,minimal,ow14-s0141,1,model-facing/minimal-candidate-snapshots/ow14-s0141.json,4,4,True
142,ow14-1-r00142,deterministic_minimal,minimal,ow14-s0142,1,model-facing/minimal-candidate-snapshots/ow14-s0142.json,4,4,True
143,ow14-1-r00143,deterministic_minimal,minimal,ow14-s0143,1,model-facing/minimal-candidate-snapshots/ow14-s0143.json,4,4,True
144,ow14-1-r00144,deterministic_minimal,minimal,ow14-s0144,1,model-facing/minimal-candidate-snapshots/ow14-s0144.json,4,4,True
145,ow14-1-r00145,deterministic_minimal,minimal,ow14-s0145,1,model-facing/minimal-candidate-snapshots/ow14-s0145.json,4,4,True
146,ow14-1-r00146,deterministic_minimal,minimal,ow14-s0146,1,model-facing/minimal-candidate-snapshots/ow14-s0146.json,4,4,True
147,ow14-1-r00147,deterministic_minimal,minimal,ow14-s0147,1,model-facing/minimal-candidate-snapshots/ow14-s0147.json,4,4,True
148,ow14-1-r00148,deterministic_minimal,minimal,ow14-s0148,1,model-facing/minimal-candidate-snapshots/ow14-s0148.json,4,4,True
149,ow14-1-r00149,deterministic_minimal,minimal,ow14-s0149,1,model-facing/minimal-candidate-snapshots/ow14-s0149.json,4,4,True
150,ow14-1-r00150,deterministic_minimal,minimal,ow14-s0150,1,model-facing/minimal-candidate-snapshots/ow14-s0150.json,4,4,True
151,ow14-1-r00151,deterministic_minimal,minimal,ow14-s0151,1,model-facing/minimal-candidate-snapshots/ow14-s0151.json,4,4,True
152,ow14-1-r00152,deterministic_minimal,minimal,ow14-s0152,1,model-facing/minimal-candidate-snapshots/ow14-s0152.json,4,4,True
153,ow14-1-r00153,deterministic_minimal,minimal,ow14-s0153,1,model-facing/minimal-candidate-snapshots/ow14-s0153.json,4,4,True
154,ow14-1-r00154,deterministic_minimal,minimal,ow14-s0154,1,model-facing/minimal-candidate-snapshots/ow14-s0154.json,4,4,True
155,ow14-1-r00155,deterministic_minimal,minimal,ow14-s0155,1,model-facing/minimal-candidate-snapshots/ow14-s0155.json,4,4,True
156,ow14-1-r00156,deterministic_minimal,minimal,ow14-s0156,1,model-facing/minimal-candidate-snapshots/ow14-s0156.json,4,4,True
157,ow14-1-r00157,deterministic_minimal,minimal,ow14-s0157,1,model-facing/minimal-candidate-snapshots/ow14-s0157.json,4,4,True
158,ow14-1-r00158,deterministic_minimal,minimal,ow14-s0158,1,model-facing/minimal-candidate-snapshots/ow14-s0158.json,4,4,True
159,ow14-1-r00159,deterministic_minimal,minimal,ow14-s0159,1,model-facing/minimal-candidate-snapshots/ow14-s0159.json,4,4,True
160,ow14-1-r00160,deterministic_minimal,minimal,ow14-s0160,1,model-facing/minimal-candidate-snapshots/ow14-s0160.json,4,4,True
161,ow14-1-r00161,deterministic_minimal,minimal,ow14-s0161,1,model-facing/minimal-candidate-snapshots/ow14-s0161.json,4,4,True
162,ow14-1-r00162,deterministic_minimal,minimal,ow14-s0162,1,model-facing/minimal-candidate-snapshots/ow14-s0162.json,4,4,True
163,ow14-1-r00163,deterministic_minimal,minimal,ow14-s0163,1,model-facing/minimal-candidate-snapshots/ow14-s0163.json,4,4,True
164,ow14-1-r00164,deterministic_minimal,minimal,ow14-s0164,1,model-facing/minimal-candidate-snapshots/ow14-s0164.json,4,4,True
165,ow14-1-r00165,deterministic_minimal,minimal,ow14-s0165,1,model-facing/minimal-candidate-snapshots/ow14-s0165.json,4,4,True
166,ow14-1-r00166,deterministic_minimal,minimal,ow14-s0166,1,model-facing/minimal-candidate-snapshots/ow14-s0166.json,4,4,True
167,ow14-1-r00167,deterministic_minimal,minimal,ow14-s0167,1,model-facing/minimal-candidate-snapshots/ow14-s0167.json,4,4,True
168,ow14-1-r00168,deterministic_minimal,minimal,ow14-s0168,1,model-facing/minimal-candidate-snapshots/ow14-s0168.json,4,4,True
169,ow14-1-r00169,deterministic_minimal,minimal,ow14-s0169,1,model-facing/minimal-candidate-snapshots/ow14-s0169.json,4,4,True
170,ow14-1-r00170,deterministic_minimal,minimal,ow14-s0170,1,model-facing/minimal-candidate-snapshots/ow14-s0170.json,4,4,True
171,ow14-1-r00171,deterministic_minimal,minimal,ow14-s0171,1,model-facing/minimal-candidate-snapshots/ow14-s0171.json,4,4,True
172,ow14-1-r00172,deterministic_minimal,minimal,ow14-s0172,1,model-facing/minimal-candidate-snapshots/ow14-s0172.json,4,4,True
173,ow14-1-r00173,deterministic_minimal,minimal,ow14-s0173,1,model-facing/minimal-candidate-snapshots/ow14-s0173.json,4,4,True
174,ow14-1-r00174,deterministic_minimal,minimal,ow14-s0174,1,model-facing/minimal-candidate-snapshots/ow14-s0174.json,4,4,True
175,ow14-1-r00175,deterministic_minimal,minimal,ow14-s0175,1,model-facing/minimal-candidate-snapshots/ow14-s0175.json,4,4,True
176,ow14-1-r00176,deterministic_minimal,minimal,ow14-s0176,1,model-facing/minimal-candidate-snapshots/ow14-s0176.json,4,4,True
177,ow14-1-r00177,deterministic_minimal,minimal,ow14-s0177,1,model-facing/minimal-candidate-snapshots/ow14-s0177.json,4,4,True
178,ow14-1-r00178,deterministic_minimal,minimal,ow14-s0178,1,model-facing/minimal-candidate-snapshots/ow14-s0178.json,4,4,True
179,ow14-1-r00179,deterministic_minimal,minimal,ow14-s0179,1,model-facing/minimal-candidate-snapshots/ow14-s0179.json,4,4,True
180,ow14-1-r00180,deterministic_minimal,minimal,ow14-s0180,1,model-facing/minimal-candidate-snapshots/ow14-s0180.json,4,4,True
181,ow14-1-r00181,deterministic_minimal,minimal,ow14-s0181,1,model-facing/minimal-candidate-snapshots/ow14-s0181.json,4,4,True
182,ow14-1-r00182,deterministic_minimal,minimal,ow14-s0182,1,model-facing/minimal-candidate-snapshots/ow14-s0182.json,4,4,True
183,ow14-1-r00183,deterministic_minimal,minimal,ow14-s0183,1,model-facing/minimal-candidate-snapshots/ow14-s0183.json,4,4,True
184,ow14-1-r00184,deterministic_minimal,minimal,ow14-s0184,1,model-facing/minimal-candidate-snapshots/ow14-s0184.json,4,4,True
185,ow14-1-r00185,deterministic_minimal,minimal,ow14-s0185,1,model-facing/minimal-candidate-snapshots/ow14-s0185.json,4,4,True
186,ow14-1-r00186,deterministic_minimal,minimal,ow14-s0186,1,model-facing/minimal-candidate-snapshots/ow14-s0186.json,4,4,True
187,ow14-1-r00187,deterministic_minimal,minimal,ow14-s0187,1,model-facing/minimal-candidate-snapshots/ow14-s0187.json,4,4,True
188,ow14-1-r00188,deterministic_minimal,minimal,ow14-s0188,1,model-facing/minimal-candidate-snapshots/ow14-s0188.json,4,4,True
189,ow14-1-r00189,deterministic_minimal,minimal,ow14-s0189,1,model-facing/minimal-candidate-snapshots/ow14-s0189.json,4,4,True
190,ow14-1-r00190,deterministic_minimal,minimal,ow14-s0190,1,model-facing/minimal-candidate-snapshots/ow14-s0190.json,4,4,True
191,ow14-1-r00191,deterministic_minimal,minimal,ow14-s0191,1,model-facing/minimal-candidate-snapshots/ow14-s0191.json,4,4,True
192,ow14-1-r00192,deterministic_minimal,minimal,ow14-s0192,1,model-facing/minimal-candidate-snapshots/ow14-s0192.json,4,4,True
193,ow14-1-r00193,deterministic_minimal,minimal,ow14-s0193,1,model-facing/minimal-candidate-snapshots/ow14-s0193.json,4,4,True
194,ow14-1-r00194,deterministic_minimal,minimal,ow14-s0194,1,model-facing/minimal-candidate-snapshots/ow14-s0194.json,4,4,True
195,ow14-1-r00195,deterministic_minimal,minimal,ow14-s0195,1,model-facing/minimal-candidate-snapshots/ow14-s0195.json,4,4,True
196,ow14-1-r00196,deterministic_minimal,minimal,ow14-s0196,1,model-facing/minimal-candidate-snapshots/ow14-s0196.json,4,4,True
197,ow14-1-r00197,deterministic_minimal,minimal,ow14-s0197,1,model-facing/minimal-candidate-snapshots/ow14-s0197.json,4,4,True
198,ow14-1-r00198,deterministic_minimal,minimal,ow14-s0198,1,model-facing/minimal-candidate-snapshots/ow14-s0198.json,4,4,True
199,ow14-1-r00199,deterministic_minimal,minimal,ow14-s0199,1,model-facing/minimal-candidate-snapshots/ow14-s0199.json,4,4,True
200,ow14-1-r00200,deterministic_minimal,minimal,ow14-s0200,1,model-facing/minimal-candidate-snapshots/ow14-s0200.json,4,4,True
201,ow14-1-r00201,deterministic_minimal,minimal,ow14-s0201,1,model-facing/minimal-candidate-snapshots/ow14-s0201.json,4,4,True
